source,destination,distance
110.0,190.0,943.539082391
147.0,176.0,440.783393517
20.0,162.0,342.334631611
80.0,125.0,1075.37574829
20.0,133.0,631.582932005
104.0,115.0,594.357636445
67.0,137.0,212.461761265
53.0,166.0,197.463920755
143.0,183.0,477.09957032
100.0,199.0,590.12202128
123.0,174.0,370.785652365
33.0,154.0,449.071263832
56.0,101.0,879.573760409
19.0,91.0,316.840653957
42.0,88.0,328.937684068
80.0,155.0,505.430509566
133.0,175.0,1018.94258916
66.0,66.0,0.0
14.0,162.0,472.259462584
15.0,143.0,430.850322038
8.0,87.0,436.311815105
5.0,178.0,645.161220161
85.0,87.0,438.826845122
32.0,77.0,368.96205767
14.0,130.0,585.317008125
71.0,100.0,547.851257186
18.0,112.0,288.175293875
146.0,189.0,746.840009641
95.0,98.0,549.364177937
27.0,194.0,620.485293943
9.0,183.0,719.734673335
28.0,185.0,709.245373619
51.0,200.0,810.2993274089999
142.0,177.0,247.131543919
98.0,181.0,608.172672849
151.0,189.0,209.659247352
8.0,181.0,493.258552891
29.0,44.0,217.267116702
84.0,128.0,366.270391924
47.0,124.0,571.651117378
17.0,57.0,674.184692796
71.0,138.0,485.708760473
41.0,179.0,271.267395756
13.0,13.0,0.0
127.0,179.0,368.401954392
37.0,135.0,193.041446327
60.0,104.0,797.220170342
23.0,84.0,746.131355728
46.0,175.0,567.292693413
84.0,102.0,467.038542307
70.0,81.0,774.442380039
93.0,144.0,605.286708924
3.0,152.0,816.574552628
12.0,90.0,841.942990944
73.0,92.0,113.569362066
36.0,80.0,845.350814751
59.0,145.0,153.71727294
150.0,200.0,895.131833866
174.0,194.0,283.019433962
106.0,156.0,338.694552658
16.0,172.0,274.308220803
55.0,197.0,383.885399566
130.0,188.0,621.527955928
79.0,195.0,127.47548784
102.0,160.0,661.709906228
139.0,182.0,316.652806714
12.0,184.0,407.019655545
72.0,147.0,378.651554863
35.0,105.0,463.836177977
21.0,198.0,505.713357546
59.0,127.0,608.047695498
135.0,194.0,95.2575456329
159.0,200.0,418.029903237
1.0,58.0,441.92533306
115.0,132.0,184.567060983
152.0,186.0,884.256184598
25.0,172.0,908.982398069
48.0,123.0,366.06693377
11.0,65.0,600.088326832
34.0,162.0,299.240705787
72.0,113.0,156.604597634
148.0,174.0,644.075306156
81.0,133.0,966.926057152
7.0,149.0,626.977671054
5.0,9.0,270.046292328
77.0,81.0,905.124300856
24.0,99.0,335.764798631
63.0,130.0,327.575945393
10.0,26.0,561.384894702
100.0,137.0,365.034244969
162.0,177.0,431.324703675
111.0,150.0,616.457622226
134.0,171.0,507.311541363
5.0,84.0,644.652619633
90.0,159.0,309.919344346
76.0,158.0,700.83378914
39.0,106.0,118.966381806
63.0,96.0,551.351067832
191.0,191.0,0.0
33.0,53.0,39.4461658466
56.0,146.0,726.333945235
57.0,191.0,489.882639007
5.0,39.0,379.475954442
171.0,195.0,1004.31120675
119.0,137.0,644.019409645
156.0,181.0,625.387080135
29.0,161.0,1110.69347707
52.0,70.0,769.796076893
15.0,114.0,314.014330883
38.0,177.0,467.112406172
76.0,124.0,77.8973683766
136.0,185.0,869.529757973
137.0,192.0,678.452651259
86.0,173.0,513.015594305
18.0,197.0,334.07334524
169.0,183.0,437.126983839
65.0,102.0,399.083951068
28.0,110.0,546.882985656
18.0,90.0,249.072278666
51.0,183.0,465.639345417
89.0,104.0,655.183180492
99.0,131.0,1039.02742986
47.0,163.0,141.240928912
94.0,138.0,792.0
131.0,156.0,847.981721501
4.0,150.0,406.070190977
64.0,169.0,770.7535274
27.0,95.0,841.430329855
88.0,95.0,57.0788927713
51.0,85.0,799.035668791
127.0,198.0,525.475974712
37.0,42.0,43.931765273
60.0,157.0,818.562764851
61.0,180.0,571.616129933
175.0,188.0,608.118409522
107.0,154.0,654.590711819
144.0,160.0,806.015508536
17.0,182.0,258.644543727
40.0,81.0,409.252977998
3.0,103.0,85.1645466142
26.0,140.0,646.526874925
64.0,119.0,106.254411673
140.0,180.0,695.201409665
74.0,176.0,315.748317494
22.0,176.0,524.444467985
173.0,188.0,393.406914022
46.0,58.0,411.870125161
