Cause,Effect,Score
oldest_review_chain_avg,rating_sum,1
oldest_review_chain_avg,average_stars_mean,1
oldest_review_chain_avg,elite_count_mean,1
oldest_review_chain_avg,zreview_per_week_all,1
useful_mean,average_stars_mean,1
useful_mean,elite_count_mean,1
Connoisseur,rating_sum,1
Connoisseur,average_stars_mean,1
Connoisseur,first_sent_mean,1
Connoisseur,zreview_per_week_all,1
rating_sum,first_sent_mean,1
rating_sum,zreview_per_week_all,1
average_stars_mean,elite_count_mean,1
average_stars_mean,first_sent_mean,1
average_stars_mean,zreview_per_week_all,1
elite_count_mean,first_sent_mean,1
first_sent_mean,zreview_per_week_all,1
