,SHAP,Largest_Effect,SHAP_abs,corr,direction,abs_corr,SHAP_corr_corrrected,SHAP_corr
Contract_Month-to-month,89.722288142079,+++++,89.722288142079,0.4051029106879799,+++++,0.4051029106879799,89.722288142079,89.722288142079
tenure,-32.41515925782083,-----,32.41515925782083,-0.35222867011307624,-----,0.35222867011307624,55.615118630361636,78.81507800290244
Contract_Two year,56.824405569448444,+++++,56.824405569448444,-0.3022534693496566,-----,0.3022534693496566,67.80514496829292,78.7858843671374
TotalChargesConv,-2.957160010536841,-+--+,11.577355899349167,-0.19942771508831214,-----,0.19942771508831214,41.444352936750654,71.31134997415214
TechSupport_No,-3.145848039567302,-+++-,10.99217148276623,0.3372807277351956,+++++,0.3372807277351956,35.97134751131099,60.950523539855745
OnlineSecurity_No,6.738695982116487,++++-,12.08230307939359,0.34263679985111534,+++++,0.34263679985111534,35.709986697549425,59.33767031570525
InternetService_No,4.387259876771455,++-+-,8.929218141696932,-0.22789044975610792,-----,0.22789044975610792,32.62149444439921,56.31377074710149
InternetService_Fiber optic,8.8725159811972,++-+-,13.110937943812512,0.3080197449448075,+++++,0.3080197449448075,32.963080581430134,52.81522321904776
DeviceProtection_No,-3.105106934300513,-+---,4.129761540169353,0.25248136059565807,+++++,0.25248136059565807,27.780575272685617,51.43138900520188
OnlineBackup_No,-14.044803832775454,----+,15.399742439367088,0.26800518096235426,+++++,0.26800518096235426,33.136411954668546,50.87308146997
MonthlyCharges,-23.233877233872597,---+-,23.831914621243413,0.19335642223784502,+++++,0.19335642223784502,37.07999520305245,50.32807578486148
PaymentMethod_Electronic check,-14.921699932733395,-----,14.921699932733395,0.301918749011285,+++++,0.301918749011285,32.08661010019059,49.25152026764779
TechSupport_Yes,-3.3798155581904923,--+-+,7.888294048606016,-0.16467355590159904,-----,0.16467355590159904,26.314695200436663,44.74109635226731
Contract_One year,-3.3175591747602056,-+--+,7.786977720004691,-0.17782001834992608,-----,0.17782001834992608,25.782440526551717,43.77790333309874
OnlineSecurity_Yes,3.851610216388812,-++++,7.781800376487979,-0.17122629194853634,-----,0.17122629194853634,24.516220329593725,41.25064028269947
StreamingTV_No,-0.6206843822600252,+++--,4.187481140733891,0.12891588111511512,+++++,0.12891588111511512,22.645162966767057,41.10284479280022
DeviceProtection_Yes,0.8778636844192567,++-+-,3.4413474370141244,-0.06615979128028415,-----,0.06615979128028415,22.222599601764546,41.00385176651497
StreamingMovies_No,4.124047604682466,+++++,4.124047604682466,0.13084502938617007,+++++,0.13084502938617007,22.42664550425385,40.72924340382524
OnlineBackup_Yes,-0.16750250507594017,++++-,4.217049468031549,-0.08225486893813826,-----,0.08225486893813826,21.714762496069646,39.212475524107745
StreamingTV_Yes,-5.488446523311394,--+--,8.484567989335972,0.06322774611875473,+++++,0.06322774611875473,23.70032830014145,38.91608861094693
StreamingMovies_Yes,-2.688222384016233,+----,4.784226943719906,0.06138154801518815,+++++,0.06138154801518815,21.684929842377635,38.58563274103536
Partner_No,-5.384388766782147,-----,5.384388766782147,0.15044754495916815,+++++,0.15044754495916815,20.575125842792076,35.76586291880201
MultipleLines_Yes,-6.962591082921082,-----,6.962591082921082,0.04010212769982239,+++++,0.04010212769982239,20.171798124091833,33.381005165262586
PaperlessBilling_No,-11.190017645360063,-----,11.190017645360063,-0.19182533166644541,-----,0.19182533166644541,21.978812438589134,32.767607231818204
MultipleLines_No,0.7045005004921843,++--+,1.4561782809568558,-0.03256857845018864,-----,0.03256857845018864,15.762028240870341,30.067878200783827
Dependents_No,-3.7168312963281567,-----,3.7168312963281567,0.16422140157973802,+++++,0.16422140157973802,16.753712850485286,29.790594404642412
PaymentMethod_Credit card (automatic),-6.956908839378562,-----,6.956908839378562,-0.13430175066263256,-----,0.13430175066263256,17.668030953790336,28.379153068202108
PaymentMethod_Mailed check,-0.34570393368065844,--++-,3.5146211745622153,-0.09168283858843226,-----,0.09168283858843226,14.77596261881405,26.037304063065886
SeniorCitizen_0,-7.9882419029418275,-----,7.9882419029418275,-0.15088932817647296,-----,0.15088932817647296,16.65844157122949,25.32864123951715
PaymentMethod_Bank transfer (automatic),-2.659338267511423,-----,2.659338267511423,-0.11793667192853156,-----,0.11793667192853156,13.930766543992243,25.202194820473064
InternetService_DSL,5.972390527403571,+-+-+,11.34857718508995,-0.12421382390258646,-----,0.12421382390258646,17.799267892026073,24.249958598962195
PhoneService_No,-0.9464292711295078,--++-,0.9464292711295078,-0.011941980029002547,-----,0.011941980029002547,6.774398042749795,12.602366814370082
gender_Female,0.05585779118502211,+++++,0.05585779118502211,0.008612095078997463,+++++,0.008612095078997463,0.5891248286119339,1.1223918660388457
