,SHAP,Largest_Effect,SHAP_abs,corr,direction,abs_corr
tenure,-38.088384110217376,-,38.088384110217376,-0.35222867011307624,-,0.35222867011307624
TechSupport_No,-25.304483676112763,-,25.304483676112763,0.3372807277351956,+,0.3372807277351956
PaperlessBilling_No,-17.439419629570708,-,17.439419629570708,-0.19182533166644541,-,0.19182533166644541
InternetService_No,-15.347082409616686,-,15.347082409616686,-0.22789044975610792,-,0.22789044975610792
MonthlyCharges,-14.75403490227951,-,14.75403490227951,0.19335642223784502,+,0.19335642223784502
PaymentMethod_Electronic check,-12.028691334405474,-,12.028691334405474,0.301918749011285,+,0.301918749011285
OnlineSecurity_No,-11.322933068127538,-,11.322933068127538,0.34263679985111534,+,0.34263679985111534
InternetService_Fiber optic,-10.716444905424018,-,10.716444905424018,0.3080197449448075,+,0.3080197449448075
OnlineBackup_Yes,-10.432834447687894,-,10.432834447687894,-0.08225486893813826,-,0.08225486893813826
StreamingMovies_Yes,-9.132876468011895,-,9.132876468011895,0.06138154801518815,+,0.06138154801518815
MultipleLines_Yes,-6.9671334151617925,-,6.9671334151617925,0.04010212769982239,+,0.04010212769982239
PaymentMethod_Credit card (automatic),-6.548857897926938,-,6.548857897926938,-0.13430175066263256,-,0.13430175066263256
Partner_No,-5.809737883009321,-,5.809737883009321,0.15044754495916815,+,0.15044754495916815
SeniorCitizen_0,-4.194773320203609,-,4.194773320203609,-0.15088932817647296,-,0.15088932817647296
DeviceProtection_Yes,-2.825229393236621,-,2.825229393236621,-0.06615979128028415,-,0.06615979128028415
OnlineBackup_No,-2.4350669981989705,-,2.4350669981989705,0.26800518096235426,+,0.26800518096235426
Dependents_No,-2.1860945730210553,-,2.1860945730210553,0.16422140157973802,+,0.16422140157973802
StreamingTV_Yes,-1.1591080220704757,-,1.1591080220704757,0.06322774611875473,+,0.06322774611875473
DeviceProtection_No,-0.5210302229302278,-,0.5210302229302278,0.25248136059565807,+,0.25248136059565807
PaymentMethod_Bank transfer (automatic),-0.40439885392894803,-,0.40439885392894803,-0.11793667192853156,-,0.11793667192853156
MultipleLines_No,-0.016314881657272517,-,0.016314881657272517,-0.03256857845018864,-,0.03256857845018864
PhoneService_No,0.0,+,0.0,-0.011941980029002547,-,0.011941980029002547
gender_Female,0.0,+,0.0,0.008612095078997463,+,0.008612095078997463
StreamingTV_No,0.3626629284396702,+,0.3626629284396702,0.12891588111511512,+,0.12891588111511512
PaymentMethod_Mailed check,0.4177814638146592,+,0.4177814638146592,-0.09168283858843226,-,0.09168283858843226
Contract_One year,2.7425110681343945,+,2.7425110681343945,-0.17782001834992608,-,0.17782001834992608
StreamingMovies_No,4.847168427262262,+,4.847168427262262,0.13084502938617007,+,0.13084502938617007
TechSupport_Yes,5.362050284359405,+,5.362050284359405,-0.16467355590159904,-,0.16467355590159904
TotalChargesConv,7.760172378079088,+,7.760172378079088,-0.19942771508831214,-,0.19942771508831214
InternetService_DSL,13.134695674340808,+,13.134695674340808,-0.12421382390258645,-,0.12421382390258645
OnlineSecurity_Yes,13.555539962984076,+,13.555539962984076,-0.17122629194853634,-,0.17122629194853634
Contract_Two year,52.43499779144729,+,52.43499779144729,-0.3022534693496566,-,0.3022534693496566
Contract_Month-to-month,88.75134942142536,+,88.75134942142536,0.40510291068797993,+,0.40510291068797993
