predict_date,class_id,predict_quantity
201712,281792,
201712,682651,
201712,603972,
201712,221795,
201712,482497,
201712,379265,
201712,687270,
201712,890189,
201712,654134,
201712,739296,
201712,437063,
201712,453752,
201712,209945,
201712,732758,
201712,683364,
201712,527765,
201712,614059,
201712,527809,
201712,401052,
201712,510309,
201712,290854,
201712,416749,
201712,587678,
201712,651347,
201712,973106,
201712,854079,
201712,713651,
201712,468392,
201712,169673,
201712,379876,
201712,378536,
201712,472603,
201712,905745,
201712,741152,
201712,125403,
201712,291086,
201712,384924,
201712,206765,
201712,186250,
201712,735971,
201712,291514,
201712,612523,
201712,124140,
201712,412240,
201712,265980,
201712,736094,
201712,905061,
201712,725137,
201712,692703,
201712,501564,
201712,580470,
201712,914348,
201712,628041,
201712,245609,
201712,961962,
201712,308913,
201712,425432,
201712,350259,
201712,883691,
201712,281301,
201712,810398,
201712,175962,
201712,321683,
201712,714152,
201712,475895,
201712,576298,
201712,302513,
201712,750340,
201712,304458,
201712,591790,
201712,789290,
201712,360648,
201712,745137,
201712,924154,
201712,356986,
201712,671482,
201712,871642,
201712,219195,
201712,569154,
201712,409854,
201712,437598,
201712,340175,
201712,948936,
201712,540712,
201712,978089,
201712,693436,
201712,289403,
201712,198427,
201712,619401,
201712,815230,
201712,649213,
201712,851857,
201712,651782,
201712,249875,
201712,289386,
201712,481950,
201712,854548,
201712,378356,
201712,496459,
201712,359378,
201712,392593,
201712,653436,
201712,248352,
201712,347384,
201712,714860,
201712,597927,
201712,194201,
201712,103507,
201712,953842,
201712,819061,
201712,417803,
201712,492952,
201712,580634,
201712,559132,
201712,961362,
201712,354068,
201712,348641,
201712,861459,
201712,950264,
201712,760412,
201712,560265,
201712,376193,
201712,872180,
201712,621073,
201712,516750,
201712,270690,
201712,178529,
201712,786351,
201712,526401,
201712,436105,
201712,194450,
201712,963845,
201712,349023,
201712,743957,
201712,923841,
201712,250658,
201712,714150,
201712,395234,
201712,842246,
201712,136916,
