,Company,conm,tic,tic,Sub
0,"BANK OF AMERICA, NATIONAL ASSOCIATION",BANK OF AMERICA CORP,BAC,BAC,
69054,"EQUIFAX, INC.",EQUIFAX INC,EFX,EFX,
126679,WELLS FARGO & COMPANY,WELLS FARGO & CO,WFC,WFC,
183643,Experian Information Solutions Inc.,EMERGENT BIOSOLUTIONS INC,EBS,EXPN,
238225,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TRANSUNION INTRMED HLDGS INC,5141B,5141B,
287182,JPMORGAN CHASE & CO.,JPMORGAN CHASE & CO,JPM,JPM,
333007,"CITIBANK, N.A.",RIVER CITY BANK/CA,RCBC,C,
370240,OCWEN LOAN SERVICING LLC,HOME LOAN SERVICING SOLTNS,HLSSF,OCN,
395352,CAPITAL ONE FINANCIAL CORPORATION,CAPITAL ONE FINANCIAL CORP,COF,COF,
417646,"Navient Solutions, LLC.",VIAVI SOLUTIONS INC,VIAV,NAVI,
438452,NATIONSTAR MORTGAGE,NATIONSTAR MORTGAGE HOLDINGS,NSM,NSM,
455588,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL,SYF,SYF,
469976,U.S. BANCORP,U S BANCORP,USB,USB,
483195,Ditech Financial LLC,CREDIT ONE FINANCIAL INC,COFI,WAC,1
495267,PNC Bank N.A.,WESTPAC BANKING,WBK,PNC,
504460,AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS CO,AXP,AXP,
513566,ENCORE CAPITAL GROUP INC.,ENCORE CAPITAL GROUP INC,ECPG,ECPG,
522042,HSBC NORTH AMERICA HOLDINGS INC.,SPORT-HALEY HOLDINGS INC,SPORQ,HSBC,
529477,DISCOVER BANK,DISCOVERY AIR INC,DCVRF,DFS,
536586,"SUNTRUST BANKS, INC.",SUNTRUST BANKS INC,STI,STI,
543248,TD BANK US HOLDING COMPANY,BANKGUAM HOLDING CO,BKGMF,TD,
549736,"SELECT PORTFOLIO SERVICING, INC.",VELOCITY PORTFOLIO GROUP INC,VPGI,CSGN,1
556039,PORTFOLIO RECOVERY ASSOCIATES INC,ORION ENERGY SYSTEMS INC,OESX,PRAA,
566788,BARCLAYS BANK DELAWARE,BARCLAYS BANK PLC,BCS.PD,BCS.PD,1
571413,ERC,AMERCO,UHAL,ERC,
575853,"CITIZENS FINANCIAL GROUP, INC.",CITIZENS FINANCIAL GROUP INC,CFG,CFG,
580198,FIFTH THIRD FINANCIAL CORPORATION,FIRST FINANCIAL CORP/IN,THFF,FITB,
584159,"Seterus, Inc.",VECTRUS INC,VEC,IBM,1
591778,ALLY FINANCIAL INC.,ALLY FINANCIAL INC,ALLY,ALLY,
595453,BB&T CORPORATION,BBX CAPITAL CORPORATION,BBX,BBT,
599078,PAYPAL HOLDINGS INC.,PAYPAL HOLDINGS INC,PYPL,PYPL,
602659,SANTANDER CONSUMER USA HOLDINGS INC.,SANTANDER CONSUMER USA HLDGS,SC,SC,
606159,M&T BANK CORPORATION,WEST BANCORPORATION INC,WTBA,MTB,
612727,REGIONS FINANCIAL CORPORATION,REGIONS FINANCIAL CORP,RF,RF,
626441,"SANTANDER BANK, NATIONAL ASSOCIATION",STANDEX INTERNATIONAL CORP,SXI,SAN,1
628968,"Convergent Resources, Inc.",TRIGEN RESOURCES INC,HSTRF,HSTRF,
631460,KEYCORP,KEYCORP,KEY,KEY,
640241,"FLAGSTAR BANK, FSB",FLAGSTAR BANCORP INC,FBC,FBC,
642203,AFNI INC.,NIC INC,EGOV,EGOV,
