MarketID,MarketSize,LocationID,AgeOfStore,Promotion,week,SalesInThousands
1,Medium,1,4,3,1,33.73
1,Medium,1,4,3,2,35.67
1,Medium,1,4,3,3,29.03
1,Medium,1,4,3,4,39.25
1,Medium,2,5,2,1,27.81
1,Medium,2,5,2,2,34.67
1,Medium,2,5,2,3,27.98
1,Medium,2,5,2,4,27.72
1,Medium,3,12,1,1,44.54
1,Medium,3,12,1,2,37.94
1,Medium,3,12,1,3,45.49
1,Medium,3,12,1,4,34.75
1,Medium,4,1,2,1,39.28
1,Medium,4,1,2,2,39.8
1,Medium,4,1,2,3,24.77
1,Medium,4,1,2,4,30.98
1,Medium,5,10,2,1,30.37
1,Medium,5,10,2,2,24.82
1,Medium,5,10,2,3,37.47
1,Medium,5,10,2,4,23.35
1,Medium,6,10,3,1,32.9
1,Medium,6,10,3,2,22.18
1,Medium,6,10,3,3,42.98
1,Medium,6,10,3,4,26.68
1,Medium,7,15,1,1,42.92
1,Medium,7,15,1,2,42.16
1,Medium,7,15,1,3,51.72
1,Medium,7,15,1,4,36.17
1,Medium,8,10,2,1,30.08
1,Medium,8,10,2,2,28.62
1,Medium,8,10,2,3,25.4
1,Medium,8,10,2,4,27.26
1,Medium,9,6,1,1,37.41
1,Medium,9,6,1,2,38.64
1,Medium,9,6,1,3,40.9
1,Medium,9,6,1,4,41.11
1,Medium,10,5,2,1,34.27
1,Medium,10,5,2,2,29.3
1,Medium,10,5,2,3,23.93
1,Medium,10,5,2,4,35.16
1,Medium,11,5,3,1,33.42
1,Medium,11,5,3,2,37.93
1,Medium,11,5,3,3,33.85
1,Medium,11,5,3,4,40.25
1,Medium,12,12,1,1,35.85
1,Medium,12,12,1,2,36.24
1,Medium,12,12,1,3,41.73
1,Medium,12,12,1,4,37.32
1,Medium,13,12,1,1,50.48
1,Medium,13,12,1,2,36.88
1,Medium,13,12,1,3,35.68
1,Medium,13,12,1,4,46.45
2,Small,101,22,1,1,67.48
2,Small,101,22,1,2,65.57
2,Small,101,22,1,3,68.42
2,Small,101,22,1,4,60.93
2,Small,102,8,3,1,61.59
2,Small,102,8,3,2,63.64
2,Small,102,8,3,3,54.68
2,Small,102,8,3,4,61.24
2,Small,103,22,3,1,62.93
2,Small,103,22,3,2,58.77
2,Small,103,22,3,3,70.6
2,Small,103,22,3,4,65.06
2,Small,104,19,3,1,59.76
2,Small,104,19,3,2,66.11
2,Small,104,19,3,3,62.16
2,Small,104,19,3,4,64.04
2,Small,105,8,3,1,59.65
2,Small,105,8,3,2,57.04
2,Small,105,8,3,3,59.73
2,Small,105,8,3,4,56.72
2,Small,106,5,3,1,58.55
2,Small,106,5,3,2,62.19
2,Small,106,5,3,3,53.14
2,Small,106,5,3,4,62.27
3,Large,201,4,3,1,86.14
3,Large,201,4,3,2,82.56
3,Large,201,4,3,3,79.36
3,Large,201,4,3,4,77.17
3,Large,202,8,1,1,88.73
3,Large,202,8,1,2,85.21
3,Large,202,8,1,3,81.55
3,Large,202,8,1,4,94.17
3,Large,203,12,3,1,89.7
3,Large,203,12,3,2,78.43
3,Large,203,12,3,3,84.05
3,Large,203,12,3,4,81.18
3,Large,204,1,2,1,87.43
3,Large,204,1,2,2,81.79
3,Large,204,1,2,3,88.12
3,Large,204,1,2,4,75.29
3,Large,205,19,3,1,83.02
3,Large,205,19,3,2,90.3
3,Large,205,19,3,3,85.18
3,Large,205,19,3,4,89.77
3,Large,206,11,3,1,82.64
3,Large,206,11,3,2,82.89
3,Large,206,11,3,3,82.13
3,Large,206,11,3,4,88.91
3,Large,207,1,3,1,87.7
3,Large,207,1,3,2,81.16
3,Large,207,1,3,3,81.58
3,Large,207,1,3,4,94.21
3,Large,208,1,3,1,96.48
3,Large,208,1,3,2,84.13
3,Large,208,1,3,3,91.98
3,Large,208,1,3,4,81.72
3,Large,209,1,1,1,93.71
3,Large,209,1,1,2,96.01
3,Large,209,1,1,3,93.03
3,Large,209,1,1,4,97.61
3,Large,210,19,1,1,85.11
3,Large,210,19,1,2,88.07
3,Large,210,19,1,3,94.43
3,Large,210,19,1,4,89.44
3,Large,211,13,2,1,88.64
3,Large,211,13,2,2,81.37
3,Large,211,13,2,3,82.14
3,Large,211,13,2,4,79.64
3,Large,212,3,3,1,84.34
3,Large,212,3,3,2,87.9
3,Large,212,3,3,3,76.12
3,Large,212,3,3,4,82.72
3,Large,213,4,2,1,73.22
3,Large,213,4,2,2,75.88
3,Large,213,4,2,3,78.01
3,Large,213,4,2,4,80.17
3,Large,214,5,1,1,91.6
3,Large,214,5,1,2,80.61
3,Large,214,5,1,3,93.86
3,Large,214,5,1,4,83.43
3,Large,215,7,2,1,82.65
3,Large,215,7,2,2,77.39
3,Large,215,7,2,3,80.83
3,Large,215,7,2,4,80.75
3,Large,216,4,3,1,94.89
