Year,Organization,Department,Position,Position count,Planned position count,Expense total,Course cost,Course days,Terminations,Internal hires,External hires
2014,GO Americas corporate,Human Resources,Vice-President of Human Resources,1,1,"203,072.40","10,500",4,0,0,0
2014,GO Americas corporate,Human Resources,Human Resources Administrator,1,1,"51,582.74",,,0,0,0
2014,GO Americas corporate,Human Resources,Benefit Specialist,2,2,"79,115.38",,,0,0,0
2014,GO Americas corporate,Human Resources,Human Resources Clerk,2,2,"65,658.44",,,0,0,0
2014,GO Americas corporate,Finance,Controller,1,1,"205,051.67","10,500",4,0,0,0
2014,GO Americas corporate,Finance,Finance Manager,1,1,"151,033.62",,,0,0,0
2014,GO Americas corporate,Finance,Financial Analyst,1,1,"72,348.87",,,0,0,0
2014,GO Americas corporate,Finance,Budget Analyst,1,1,"55,637.79",,,0,0,0
2014,GO Americas corporate,Finance,Payroll Clerk,1,1,"47,681.62",,,0,0,1
2014,GO Americas corporate,Finance,Accounting Manager,1,1,"126,566.70",,,0,0,0
2014,GO Americas corporate,Finance,Accountant 1,2,3,"123,625.32","7,750",8.5,0,0,0
2014,GO Americas corporate,Finance,Accountant 2,4,5,"345,531.55","11,500",14.5,0,2,1
2014,GO Americas corporate,Finance,Accounting Clerk,6,6,"209,388.89","6,750",9.5,0,0,1
2014,GO Americas corporate,Marketing,Vice-President of Marketing,1,1,"200,291.03","10,500",4,0,0,0
2014,GO Americas corporate,Marketing,Marketing Manager,1,1,"65,730.68",,,0,0,0
2014,GO Americas corporate,Marketing,Marketing Specialist,3,3,"123,136.10","7,750",10.5,0,0,1
2014,GO Americas corporate,Sales (Corporate),Vice-President of Sales Management,1,1,"200,638.43","10,500",4,0,0,0
2014,GO Americas corporate,Sales (Corporate),Product Manager,2,2,"127,244.47","9,750",12.5,0,0,0
2014,GO Americas corporate,Sales (Corporate),Product Technician,3,3,"103,109.83","5,250",13.5,0,0,3
2014,GO Americas corporate,Procurement,Procurement Manager,1,1,"71,074.76","9,500",11.5,1,0,1
2014,GO Americas corporate,Procurement,Procurement Coordinator,1,1,"43,492.20",,,0,0,0
2014,GO Americas corporate,Procurement,Procurement Clerk,2,2,"69,915.08","4,750",6,0,0,0
2014,GO Americas corporate,Information Services and Technology,Vice-President of Information Technology,1,1,"200,632.30","10,500",4,0,0,0
2014,GO Americas corporate,Information Services and Technology,Information Technology Manager,1,1,"103,442.03",,,0,0,0
2014,GO Americas corporate,Information Services and Technology,System Analyst,1,1,"46,275.30","8,250",9.5,1,0,1
2014,GO Americas corporate,Information Services and Technology,Software Engineer,2,2,"129,905.41",,,0,0,0
2014,GO Americas corporate,Information Services and Technology,Computer Operator,2,2,"67,323.01",,,0,0,0
2014,GO Americas corporate,Executive Offices,Executive Vice-President,1,1,"235,974.33","10,500",4,0,0,0
2014,GO Americas corporate,Production and Distribution,Regional Manager,1,1,,,,0,0,0
2014,GO Americas corporate,Executive Offices,Chief Executive Officer,1,1,"347,719.25","10,500",4,0,0,0
2014,GO Americas corporate,Executive Offices,Chief Financial Officer,1,1,"296,261.64","10,500",4,0,0,0
2014,GO Americas operations,Production and Distribution,Regional Manager,,,"135,635.11",,,,,
2014,GO Americas operations,Production and Distribution,Franchise Distribution Manager,2,2,"157,750.72",,,0,0,0
2014,GO Americas operations,Production and Distribution,Warehouse Manager,4,4,"250,150.96","5,250",6,0,0,0
2014,GO Americas operations,Production and Distribution,Warehouse Worker,11,11,"392,919.91","1,600",5.5,0,0,0
2014,GO Americas operations,Production and Distribution,Warehouse Assistant Manager,3,3,"180,693.35",,,0,0,0
2014,GO Americas operations,Customer Service,Customer Service Manager,1,1,"100,041.41",,,0,0,0
2014,GO Americas operations,Customer Service,Customer Service Coordinator,3,3,"154,961.56","4,750",9,0,2,0
2014,GO Americas operations,Customer Service,Customer Service Representative,6,7,"321,854.55","2,500",4.5,0,0,1
2014,GO Americas operations,Sales,Regional Sales Manager,1,1,"143,207.60","3,500",4,0,0,0
2014,GO Americas operations,Sales,District Sales Manager,2,2,"253,575.08","7,000",8,0,0,0
2014,GO Americas operations,Sales,Branch Sales Manager,8,8,"715,509.63","38,000",45.5,1,0,1
2014,GO Americas operations,Sales,Level 1 Sales Representative,11,11,"620,403.93","61,000",77,0,0,2
2014,GO Americas operations,Sales,Level 2 Sales Representative,7,7,"693,978.80","31,500",38.5,0,0,2
2014,GO Americas operations,Sales,Level 3 Sales Representative,13,13,"1,587,456.04","50,000",60,0,0,0
2014,GO Americas operations,Operations,General Manager of Operations,1,1,"205,459.03","10,500",4,0,0,0
2014,GO Central Europe corporate,Human Resources,Vice-President of Human Resources,1,1,"199,578.71","10,500",4,0,0,0
2014,GO Central Europe corporate,Human Resources,Human Resources Administrator,0,0,,,,0,0,0
2014,GO Central Europe corporate,Human Resources,Benefit Specialist,0,0,,,,0,0,0
2014,GO Central Europe corporate,Human Resources,Human Resources Clerk,0,0,,,,0,0,0
2014,GO Central Europe corporate,Finance,Controller,1,1,"199,348.94","10,500",4,0,0,0
2014,GO Central Europe corporate,Finance,Finance Manager,1,1,"126,136.77",,,0,0,0
2014,GO Central Europe corporate,Finance,Financial Analyst,2,2,"142,899.39",,,0,0,0
2014,GO Central Europe corporate,Finance,Budget Analyst,2,2,"87,884.70",,,0,0,0
2014,GO Central Europe corporate,Finance,Payroll Clerk,0,0,,,,0,0,0
2014,GO Central Europe corporate,Finance,Accounting Manager,1,1,"94,174.72","5,750",7,0,0,0
2014,GO Central Europe corporate,Finance,Accountant 1,1,1,"64,397.82",,,0,0,0
2014,GO Central Europe corporate,Finance,Accountant 2,2,2,"150,618.97",,,0,0,0
2014,GO Central Europe corporate,Finance,Accounting Clerk,2,2,"65,980.10","6,750",9.5,0,0,0
2014,GO Central Europe corporate,Marketing,Vice-President of Marketing,1,1,"200,101.57","10,500",4,0,0,0
2014,GO Central Europe corporate,Marketing,Marketing Manager,1,1,"80,443.82",,,0,0,0
2014,GO Central Europe corporate,Marketing,Marketing Specialist,1,1,"43,553.27",,,0,0,0
2014,GO Central Europe corporate,Sales (Corporate),Vice-President of Sales Management,1,1,"201,692.77","10,500",4,0,0,0
2014,GO Central Europe corporate,Sales (Corporate),Product Manager,1,1,"80,444.30",,,0,0,0
2014,GO Central Europe corporate,Sales (Corporate),Product Technician,1,1,"47,799.64",,,0,0,0
2014,GO Central Europe corporate,Procurement,Procurement Manager,0,0,,,,0,0,0
2014,GO Central Europe corporate,Procurement,Procurement Coordinator,0,0,,,,0,0,0
2014,GO Central Europe corporate,Procurement,Procurement Clerk,0,0,,,,0,0,0
2014,GO Central Europe corporate,Information Services and Technology,Vice-President of Information Technology,1,1,"201,187.73","10,500",4,0,0,0
2014,GO Central Europe corporate,Information Services and Technology,Information Technology Manager,1,1,"91,100.50",,,0,0,0
2014,GO Central Europe corporate,Information Services and Technology,System Analyst,1,1,"37,423.90","8,250",9.5,0,0,1
2014,GO Central Europe corporate,Information Services and Technology,Software Engineer,4,4,"217,882.33","8,250",9.5,0,0,1
2014,GO Central Europe corporate,Information Services and Technology,Computer Operator,1,1,"32,963.67",,,0,0,0
2014,GO Central Europe corporate,Executive Offices,Executive Vice-President,1,1,"239,109.25","10,500",4,0,0,0
2014,GO Central Europe corporate,Production and Distribution,Regional Manager,1,1,,,,0,0,0
2014,GO Central Europe operations,Sales (Corporate),Product Technician,0,0,,,,0,0,0
2014,GO Central Europe operations,Production and Distribution,Regional Manager,,,"117,411.09",,,,,
2014,GO Central Europe operations,Production and Distribution,Franchise Distribution Manager,1,1,"65,825.06",,,0,0,0
2014,GO Central Europe operations,Production and Distribution,Warehouse Manager,1,1,"57,441.89","4,300",9,0,0,0
2014,GO Central Europe operations,Production and Distribution,Warehouse Worker,4,5,"139,160.58","5,600",17.5,0,0,3
2014,GO Central Europe operations,Production and Distribution,Warehouse Assistant Manager,1,1,"25,222.98",,,0,1,0
2014,GO Central Europe operations,Customer Service,Customer Service Manager,1,1,"78,372.94",,,0,0,0
2014,GO Central Europe operations,Customer Service,Customer Service Coordinator,2,2,"105,559.95",,,0,0,0
2014,GO Central Europe operations,Customer Service,Customer Service Representative,2,2,"87,532.64",,,0,0,0
2014,GO Central Europe operations,Sales,Regional Sales Manager,1,1,"135,387.97","3,500",4,0,0,0
2014,GO Central Europe operations,Sales,District Sales Manager,2,2,"233,851.03","7,000",8,0,0,0
2014,GO Central Europe operations,Sales,Branch Sales Manager,6,7,"537,587.01","30,750",36.5,2,0,2
2014,GO Central Europe operations,Sales,Level 1 Sales Representative,4,5,"306,047.95","20,500",24.5,1,0,2
2014,GO Central Europe operations,Sales,Level 2 Sales Representative,7,8,"714,114.63","38,000",47,0,0,1
2014,GO Central Europe operations,Sales,Level 3 Sales Representative,7,8,"915,953.07","37,250",44.5,0,0,1
2014,GO Central Europe operations,Operations,General Manager of Operations,1,1,"201,288.08","10,500",4,0,0,0
2014,GO Asia Pacific corporate,Human Resources,Vice-President of Human Resources,1,1,"166,889.15","10,500",4,0,0,0
2014,GO Asia Pacific corporate,Human Resources,Human Resources Administrator,1,1,"38,396.10",250,1,0,0,0
2014,GO Asia Pacific corporate,Human Resources,Benefit Specialist,1,1,"34,239.39",,,0,0,0
2014,GO Asia Pacific corporate,Human Resources,Human Resources Clerk,1,1,"27,557.96",250,1,0,0,0
2014,GO Asia Pacific corporate,Finance,Controller,1,1,"166,455.26","10,500",4,0,0,0
2014,GO Asia Pacific corporate,Finance,Finance Manager,1,1,"113,903.28",,,0,0,0
2014,GO Asia Pacific corporate,Finance,Financial Analyst,1,1,"57,413.27",250,1,0,0,0
2014,GO Asia Pacific corporate,Finance,Budget Analyst,1,1,"34,631.51","6,500",7,0,0,0
2014,GO Asia Pacific corporate,Finance,Payroll Clerk,1,1,"33,189.80",,,0,0,0
2014,GO Asia Pacific corporate,Finance,Accounting Manager,1,1,"93,915.71",,,0,0,0
2014,GO Asia Pacific corporate,Finance,Accountant 1,0,0,,,,0,0,0
2014,GO Asia Pacific corporate,Finance,Accountant 2,2,2,"129,589.46","8,000",9.5,0,0,0
2014,GO Asia Pacific corporate,Finance,Accounting Clerk,1,2,"44,689.41","4,500",6.5,0,0,1
2014,GO Asia Pacific corporate,Marketing,Vice-President of Marketing,1,1,"165,872.95","10,500",4,0,0,0
2014,GO Asia Pacific corporate,Marketing,Marketing Manager,1,1,"59,994.51",,,0,0,0
2014,GO Asia Pacific corporate,Marketing,Marketing Specialist,4,4,"132,140.47","5,000",7,0,0,0
2014,GO Asia Pacific corporate,Sales (Corporate),Vice-President of Sales Management,1,1,"167,095.22","10,500",4,0,0,0
2014,GO Asia Pacific corporate,Sales (Corporate),Product Manager,1,1,"55,623",,,0,0,0
2014,GO Asia Pacific corporate,Sales (Corporate),Product Technician,1,1,"37,818.35",,,0,0,0
2014,GO Asia Pacific corporate,Procurement,Procurement Manager,1,1,"63,957.46",,,0,0,0
2014,GO Asia Pacific corporate,Procurement,Procurement Coordinator,1,1,"40,556.04","9,750",12.5,0,0,1
