storeid,HealthyStore,StoreSize,StoreLayout,customerID,gender,WhoShoppingFor,Vegetarian,ShoppingStyle,CouponUser,week,CouponSequence,CarryOver,CouponValue,AmountSpent
1,Regular store,Medium,No emphasis,6193-QDKCN,Male,Self and spouse,No,Often; what's on sale,From newspaper,1,"2,4,1,3",0,05 percent,135.24
1,Regular store,Medium,No emphasis,6193-QDKCN,Male,Self and spouse,No,Often; what's on sale,From newspaper,2,"2,4,1,3",2,25 percent,128.65
1,Regular store,Medium,No emphasis,6193-QDKCN,Male,Self and spouse,No,Often; what's on sale,From newspaper,3,"2,4,1,3",4,00 No value,112.86
1,Regular store,Medium,No emphasis,6193-QDKCN,Male,Self and spouse,No,Often; what's on sale,From newspaper,4,"2,4,1,3",1,15 percent,130.14
1,Regular store,Medium,No emphasis,9245-DEZSB,Male,Self and family,No,Weekly; similar items,From mailings,1,"4,3,2,1",0,25 percent,155.61
1,Regular store,Medium,No emphasis,9245-DEZSB,Male,Self and family,No,Weekly; similar items,From mailings,2,"4,3,2,1",4,15 percent,140.74
1,Regular store,Medium,No emphasis,9245-DEZSB,Male,Self and family,No,Weekly; similar items,From mailings,3,"4,3,2,1",3,05 percent,123.53
1,Regular store,Medium,No emphasis,9245-DEZSB,Male,Self and family,No,Weekly; similar items,From mailings,4,"4,3,2,1",2,00 No value,130.53
1,Regular store,Medium,No emphasis,9743-QKKIT,Male,Self and family,No,Biweekly; in bulk,From newspaper,1,"1,2,3,4",0,00 No value,190.83
1,Regular store,Medium,No emphasis,9743-QKKIT,Male,Self and family,No,Biweekly; in bulk,From newspaper,2,"1,2,3,4",1,05 percent,0
1,Regular store,Medium,No emphasis,9743-QKKIT,Male,Self and family,No,Biweekly; in bulk,From newspaper,3,"1,2,3,4",2,15 percent,216.26
1,Regular store,Medium,No emphasis,9743-QKKIT,Male,Self and family,No,Biweekly; in bulk,From newspaper,4,"1,2,3,4",3,25 percent,0
1,Regular store,Medium,No emphasis,7862-AMKML,Female,Self,No,Weekly; similar items,No,1,"1,2,3,4",0,00 No value,80.11
1,Regular store,Medium,No emphasis,7862-AMKML,Female,Self,No,Weekly; similar items,No,2,"1,2,3,4",1,05 percent,76.88
1,Regular store,Medium,No emphasis,7862-AMKML,Female,Self,No,Weekly; similar items,No,3,"1,2,3,4",2,15 percent,83.84
1,Regular store,Medium,No emphasis,7862-AMKML,Female,Self,No,Weekly; similar items,No,4,"1,2,3,4",3,25 percent,77.31
1,Regular store,Medium,No emphasis,7975-NTGUO,Female,Self,Yes,Weekly; similar items,From mailings,1,"3,1,4,2",0,15 percent,109.05
1,Regular store,Medium,No emphasis,7975-NTGUO,Female,Self,Yes,Weekly; similar items,From mailings,2,"3,1,4,2",3,00 No value,87.44
1,Regular store,Medium,No emphasis,7975-NTGUO,Female,Self,Yes,Weekly; similar items,From mailings,3,"3,1,4,2",1,25 percent,101.06
1,Regular store,Medium,No emphasis,7975-NTGUO,Female,Self,Yes,Weekly; similar items,From mailings,4,"3,1,4,2",4,05 percent,92.19
2,Regular store,Large,No emphasis,0994-SOSAE,Female,Self and spouse,No,Weekly; similar items,From newspaper,1,"3,1,4,2",0,15 percent,122.9
2,Regular store,Large,No emphasis,0994-SOSAE,Female,Self and spouse,No,Weekly; similar items,From newspaper,2,"3,1,4,2",3,00 No value,94.48
2,Regular store,Large,No emphasis,0994-SOSAE,Female,Self and spouse,No,Weekly; similar items,From newspaper,3,"3,1,4,2",1,25 percent,122.75
