Full Name,Primary Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase,,Series A Month,Series A Day,Series A Year,,,,CEO at A,CEO at B
Chad Hurley,YouTube,NaN,"14,000,000.00","88,400,000.00",6.314285714,,,,,,,,1,1
Gwyneth Paltrow,Goop Inc.,NaN,"40,000,000.00","65,000,000.00",1.625,,,,,,,,1,1
Jason Calacanis,Inside.com,"$7,000,000.00 ","11,250,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Tony Fadell,Nest Labs,"$2,700,000.00 ","49,210,000.00","288,120,000.00",5.854907539,,,,,,,,1,1
Matt Mullenweg,Automattic,NaN,"8,650,000.00","238,590,000.00",27.58265896,,,,,,,,1,1
Eric Lefkofsky,Tempus,NaN,"82,500,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Kevin Systrom,Instagram,"$2,600,000.00 ","32,000,000.00","500,000,000.00",15.625,,,,,,,,1,1
Matt Humphrey,LendingHome,NaN,"33,820,000.00","173,970,000.00",5.143997635,,,,,,,,1,1
Dustin Moskovitz,Asana,NaN,"52,260,000.00","310,000,000.00",5.931879066,,,,,,,,1,1
Jan Koum,WhatsApp,NaN,"40,290,000.00","1,630,000,000.00",40.456689,,,,,,,,1,1
Rob May,Talla,"$10,070,000.00 ","20,000,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Brian Wong,Kiip,"$590,000.00 ","11,170,000.00","35,540,000.00",3.181736795,,,,,,,,1,1
Jason Tan,Sift Science,NaN,"20,170,000.00","80,350,000.00",3.983639068,,,,,,,,1,1
Sandeep Aggarwal,Droom Technology Private Limited,NaN,NaN,"225,000,000.00",#VALUE!,,,,,,,,1,1
Payal Kadakia,ClassPass,"$15,580,000.00 ","80,000,000.00","414,500,000.00",5.18125,,,,,,,,0,0
Brendan Iribe,Oculus,NaN,"46,000,000.00","287,440,000.00",6.248695652,,,,,,,,1,1
Tom Chavez,Krux,"$9,590,000.00 ","28,920,000.00","254,100,000.00",8.786307054,,,,,,,,1,1
Tina Sharkey,Brandless,"$14,900,000.00 ","35,500,000.00","105,000,000.00",2.957746479,,,,,,,,1,1
Emmett Shear,Twitch,"$1,050,000.00 ","24,190,000.00","61,020,000.00",2.522529971,,,,,,,,1,1
Jon Miller,Engagio,NaN,"32,000,000.00","100,000,000.00",3.125,,,,,,,,1,1
Don Ressler,Fabletics,,"210,000,000.00","316,000,000.00",1.504761905,,,,,,,,1,1
Jonah Goodhart,Moat,NaN,NaN,"53,800,000.00",#VALUE!,,,,,,,,1,1
Ron Gula,"Tenable Network Security, Inc.",NaN,"550,000,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Pau Sabria,Olapic,"$5,480,000.00 ","22,290,000.00","57,380,000.00",2.574248542,,,,,,,,1,1
Jack Conte,Patreon,"$7,980,000.00 ","65,500,000.00","140,000,000.00",2.13740458,,,,,,,,1,1
Liz Wessel,WayUp,"$5,110,000.00 ","34,470,000.00","55,500,000.00",1.610095735,,,,,,,,1,1
Vlad Tenev,Robinhood,NaN,"61,500,000.00","250,000,000.00",4.06504065,,,,,,,,1,1
Chris Milk,WITHIN (VR/AR),NaN,"40,420,000.00","150,000,000.00",3.711034142,,,,,,,,1,1
Alex Fielding,Ripcord,"$2,000,000.00 ","24,910,000.00","87,000,000.00",3.492573264,,,,,,,,1,1
Will Marshall,Planet,NaN,"53,420,000.00","468,000,000.00",8.760763759,,,,,,,,1,1
Ron Gutman,HealthTap,NaN,NaN,"77,430,000.00",#VALUE!,,,,,,,,1,1
Tony Xu,DoorDash,NaN,"71,550,000.00","600,000,000.00",8.385744235,,,,,,,,1,1
Andy Palmer,Tamr,"$8,720,000.00 ","35,000,000.00","154,910,000.00",4.426,,,,,,,,1,1
Pete Cashmore,Mashable,NaN,"70,000,000.00","150,000,000.00",2.142857143,,,,,,,,1,1
David Friedberg,The Climate Corporation,NaN,NaN,"192,110,000.00",#VALUE!,,,,,,,,1,1
Marcelo Camberos,ipsy,NaN,"20,690,000.00","800,000,000.00",38.66602223,,,,,,,,1,1
Philip Krim,Casper Sleep,"$7,220,000.00 ","59,090,000.00","555,000,000.00",9.392452192,,,,,,,,1,1
Noah Kraft,Doppler Labs,"$20,000,000.00 ","85,000,000.00","235,000,000.00",2.764705882,,,,,,,,1,1
Amy Chang,Accompany,NaN,"25,000,000.00","200,000,000.00",8,,,,,,,,1,1
Steve Shillingford,Anonyome Labs,"$3,280,000.00 ","39,740,000.00","68,000,000.00",1.711122295,,,,,,,,1,1
David Rogier,MasterClass,"$8,620,000.00 ",NaN,"61,190,000.00",#VALUE!,,,,,,,,1,1
Ryan Smith,Qualtrics,NaN,NaN,"1,000,000,000.00",#VALUE!,,,,,,,,1,1
Nick Huzar,OfferUp,NaN,"13,300,000.00","66,900,000.00",5.030075188,,,,,,,,1,1
