Full Name,Primary Company,Founding Time,Previous startups?,Consulting before start-up,Undergraduate College,Standardized University,Education (Type of degree/major),Standardized Major,Degree Type,Graduate Degree Time,Graduate Institution,Standardized Graduate Institution,Graduate Studies,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,# Years of employment (non-founder),Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?
Chad Hurley,YouTube,2005,0,0,Indiana University of Pennsylvania,Indiana University of Pennsylvania,Fine Art,Design,,,,,,,,0,4,1,1,0,0
Gwyneth Paltrow,Goop Inc.,2008,0,0,,,,,,,,,,,,0,12,1,0,0,0
Jason Calacanis,Inside.com,2007,3,0,Fordham University,Fordham University,Psychology,Psychology,BA,,,,,,,0,4,1,0,0,0
Tony Fadell,Nest Labs,2010,1,0,University of Michigan,University of Michigan,Computer Engineering,Computer Science,BS,,,,,,,0,18,1,0,0,0
Matt Mullenweg,Automattic,2005,1,0,University of Houston,University of Houston,,,,,,,,,,0,15,1,0,0,0
Eric Lefkofsky,Tempus,2015,6,0,University of Michigan,University of Michigan,,,BA,1991,University of Michigan,University of Michigan,Law,Law,JD,1,0,1,0,0,0
Kevin Systrom,Instagram,2010,0,0,Stanford University,Stanford University,Management Science and Engineering,Operations Research,,,,,,,,0,5,1,1,0,0
Matt Humphrey,LendingHome,2013,4,0,Carnegie Mellon University,Carnegie Mellon University,Computer Science,Computer Science,BS,2006,Carnegie Mellon University,Carnegie Mellon University,Business,Business,MBA,0,0,1,0,0,0
Dustin Moskovitz,Asana,2008,3,0,Harvard University,Harvard University,Economics,Economics,,,,,,,,,0,1,0,0,0
Jan Koum,WhatsApp,2009,0,0,San Jose State University,San Jose State University,Computer Science,Computer Science,BS,,,,,,,0,9,0,0,0,0
Rob May,Talla,2015,2,0,University of Kentucky,University of Kentucky,Electrical Engineering,Electrical Engineering,BE,,University of Kentucky,University of Kentucky,Business,Business,MBA,1,18.5,1,0,0,0
Brian Wong,Kiip,2010,3,0,The University of British Columbia,University of British Columbia,Marketing,Business,BA,,,,,,,0,4.5,1,0,0,0
Jason Tan,Sift Science,2011,0,0,University of Washington,University of Washington,Computer Engineering,Computer Science,BE,,,,,,,0,5.5,0,0,0,0
Sandeep Aggarwal,Droom Technology,,0,0,,,,,,,,,,,,0,11,1,0,0,0
Payal Kadakia,ClassPass,2011,1,1,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Management Science,Operations Research,BS,,,,,,,0,12,1,0,0,0
Brendan Iribe,Oculus,,1,0,University of Maryland College Park,University of Maryland College Park,Computer Science,Computer Science,Drop,,,,,,,1,13,1,0,0,0
Tom Chavez,Krux,,1,0,Harvard University,Harvard University,Computer Science and Philosophy,Computer Science,BA,,Stanford University,Stanford University,Operations Research,Operations Research,PhD,0,11,1,0,1,0
Tina Sharkey,Brandless,2014,0,0,University of Pennsylvania,University of Pennsylvania,International Relations.,International Relations,BA,,,,,,,0,4,1,0,0,0
Emmett Shear,Twitch,2011,2,0,Yale University,Yale University,Computer Science,Computer Science,BS,1997,University of Washington,University of Washington,,,,0,4,1,0,0,0
Jon Miller,Engagio,2015,0,1,Harvard College,Harvard University,Physics,Physics,BA,1997,Stanford University,Stanford University,Business,Business,MBA,1,8,1,0,0,0
Don Ressler,Fabletics,,0,0,,,,,,,,,,,,0,8,0,0,0,0
Jonah Goodhart,Moat,2010,6,0,Cornell University,Cornell University,Political Science and Government,Political Science,BA,,,,,,,0,5,1,0,0,0
Ron Gula,"Tenable Network Security, Inc.",2002,0,0,Clarkson University,Clarkson University,Electrical Engineering,Electrical Engineering,BS,,Southern Illinois University Edwardsville,Southern Illinois University Edwardsville,Electrical Engineering,Electrical Engineering,MS,0,12,1,0,0,0
Pau Sabria,Olapic,,0,1,UPC - ETSETB TelecomBCN,Technical University of Catalonia,Telecommunications Engineering,Engineering,BE,2008,Columbia University,Columbia University,Business,Business,MS,1,4,1,0,0,0
Jack Conte,Patreon,2013,0,0,Stanford University,Stanford University,Music,Music,BA,,,,,,,1,0,1,0,0,0
Liz Wessel,WayUp,2014,2,0,University of Pennsylvania,University of Pennsylvania,,,BA,,,,,,,1,5,1,1,0,0
Vlad Tenev,Robinhood,2012,0,0,Stanford University,Stanford University,Mathematics,Mathematics,BA,2008,"University of California, Los Angeles",University of California Los Angeles,Mathematics,Mathematics,MA,0,10,1,0,0,0
Chris Milk,WITHIN (VR/AR),2014,2,0,Academy of Art University,Academy of Art University,"Film, Photography, Computer Graphics",Film,BA,,"University of California, Santa Barbara",University of California Santa Barbara,Film,Film,,0,1,0,0,0,0
Alex Fielding,Ripcord,2015,0,0,San Jose State University,San Jose State University,,,,,Stanford University,Stanford University,,,,0,7,1,0,0,0
Will Marshall,Planet,2012,0,0,University of Leicester,University of Leicester,Physics and Space Science,Physics,MS,2000,University of Oxford,University of Oxford,Physics,Physics,PhD,1,7,0,0,0,0
Ron Gutman,HealthTap,2010,1,0,Stanford University,Stanford University,,,,,Stanford University,Stanford University,Business,Business,MBA,1,14,1,0,0,0
Tony Xu,DoorDash,2013,0,1,"University of California, Berkeley",University of California Berkeley,Industrial Engineering and Operations Research,Operations Research,BS,2011,Stanford University,Stanford University,Business,Business,MBA,1,2,1,0,0,0
Andy Palmer,Tamr,2013,1,0,Bowdoin College,Bowdoin College,"English, History, Computer Science",Computer Science,BA,1992,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Business,Business,MBA,1,2,0,0,0,0
Pete Cashmore,Mashable,2005,0,0,,,,,,,,,,,,0,6,1,0,0,0
David Friedberg,The Climate Corporation,2006,0,0,"University of California, Berkeley",University of California Berkeley,Astrophysics,Physics,BA,,,,,,,1,2,1,1,0,0
Marcelo Camberos,ipsy,2011,0,1,Duke University,Duke University,Economics & French Literature,Economics,BA,2005,Stanford Univeristy,Stanford University,Business,Business,MBA,1,7,1,0,0,0
Philip Krim,Casper Sleep,2013,1,0,The University of Texas at Austin,University of Texas Austin,Marketing,Business,BA,,,,,,,1,1,0,0,0,0
Noah Kraft,Doppler Labs,2013,0,1,Brown University,Brown University,"International Relations, History",International Relations,BA,2007,"University of California, Los Angeles",University of California Los Angeles,,,,1,7,0,1,0,0
