Full Name,Crunchbase,LinkedIn
Chad Hurley,https://www.crunchbase.com/person/chad-hurley,http://www.linkedin.com/profile/view?id=5711
Gwyneth Paltrow,https://www.crunchbase.com/person/gwyneth-paltrow,https://www.linkedin.com/in/gwyneth-paltrow-483b5511a
Tom Herman,https://www.crunchbase.com/person/tom-herman,http://www.linkedin.com/in/tomherman
Jason Calacanis,https://www.crunchbase.com/person/jason-calacanis,http://www.linkedin.com/in/jasoncalacanis
Tony Fadell,https://www.crunchbase.com/person/tony-fadell,http://www.linkedin.com/pub/tony-fadell/0/1/380
Matt Mullenweg,https://www.crunchbase.com/person/matt-mullenweg,http://www.linkedin.com/in/mattm
Eric Lefkofsky,https://www.crunchbase.com/person/eric-lefkofsky,http://www.linkedin.com/in/ericlefkofsky
Kevin Systrom,https://www.crunchbase.com/person/kevin-systrom,http://www.linkedin.com/in/kevinsystrom
Shlomo Kramer,https://www.crunchbase.com/person/shlomo-kramer,http://www.linkedin.com/in/shlomokramer
Matt Humphrey,https://www.crunchbase.com/person/matt-humphrey,https://www.linkedin.com/in/matthumphrey
Naval Ravikant,https://www.crunchbase.com/person/naval-ravikant,http://www.linkedin.com/in/navalr
Dustin Moskovitz,https://www.crunchbase.com/person/dustin-moskovitz,https://www.linkedin.com/in/dmoskov
Jan Koum,https://www.crunchbase.com/person/jan-koum,https://www.linkedin.com/in/jkoum?authType=NAME_SEARCH&authToken=HCrg&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2CclickedEntityId%3A162251%2CauthType%3ANAME_SEARCH%2Cidx%3A1-1-1%2CtarId%3A1463496543831%2Ctas%3AJan%20Koum
Rob May,https://www.crunchbase.com/person/rob-may,https://www.linkedin.com/in/robmay
Brian Wong,https://www.crunchbase.com/person/brian-wong,https://www.linkedin.com/in/wongbrian
Jason Tan,https://www.crunchbase.com/person/jason-tan-3,https://www.linkedin.com/in/jasontan325
Sandeep Aggarwal,https://www.crunchbase.com/person/sandeep-aggarwal,https://www.linkedin.com/in/sandeep-aggarwal-abb6a61
Payal Kadakia,https://www.crunchbase.com/person/payal-kadakia,http://www.linkedin.com/pub/payal-kadakia/2/29/84
Brendan Iribe,https://www.crunchbase.com/person/brendan-iribe,http://www.linkedin.com/in/brendaniribe
Noubar Afeyan,https://www.crunchbase.com/person/noubar-afeyan,http://www.linkedin.com/in/noubarafeyan
Robin Li,https://www.crunchbase.com/person/robin-li,http://www.linkedin.com/in/puishuenli
Tom Chavez,https://www.crunchbase.com/person/tom-chavez,https://www.linkedin.com/in/tommychavez
Tina Sharkey,https://www.crunchbase.com/person/tina-sharkey,http://www.linkedin.com/in/tinasharkey
Emmett Shear,https://www.crunchbase.com/person/emmett-shear,http://www.linkedin.com/pub/emmett-shear/1/380/610
Jon Miller,https://www.crunchbase.com/person/jon-miller-2,http://www.linkedin.com/in/jonmiller2
Don Ressler,https://www.crunchbase.com/person/don-ressler,https://www.linkedin.com/company/justfab
Jonah Goodhart,https://www.crunchbase.com/person/jonah-goodhart,http://www.linkedin.com/in/jonahgoodhart
Ron Gula,https://www.crunchbase.com/person/ron-gula,https://www.linkedin.com/pub/ron-gula/0/101/a8
Pau Sabria,https://www.crunchbase.com/person/pau-sabria,http://www.linkedin.com/in/pausabria
Jack Conte,https://www.crunchbase.com/person/jack-conte,https://www.linkedin.com/in/jack-conte-a15a3686
Liz Wessel,https://www.crunchbase.com/person/liz-wessel,https://www.linkedin.com/in/elizabethwessel/
Chris Morton,https://www.crunchbase.com/person/chris-morton,http://www.linkedin.com/in/cmlmorton
Vlad Tenev,https://www.crunchbase.com/person/vlad-tenev,https://www.linkedin.com/in/vladimir-tenev-7037591b/
Valentin Stalf,https://www.crunchbase.com/person/valentin-stalf,https://www.linkedin.com/in/valentin-s-9835144a/
Chris Sheldrick,https://www.crunchbase.com/person/chris-sheldrick,http://uk.linkedin.com/in/chrissheldrick1
Chris Milk,https://www.crunchbase.com/person/chris-milk,https://www.linkedin.com/pub/chris-milk/83/ab/7ba
Alex Fielding,https://www.crunchbase.com/person/alex-fielding,https://www.linkedin.com/in/ripcord/
Will Marshall,https://www.crunchbase.com/person/will-marshall,https://www.linkedin.com/pub/will-marshall/0/662/715
Ron Gutman,https://www.crunchbase.com/person/ron-gutman,http://www.linkedin.com/in/rongutman
Tony Xu,https://www.crunchbase.com/person/tony-xu,http://www.linkedin.com/in/xutony
Andy Palmer,https://www.crunchbase.com/person/andy-palmer-2,http://www.linkedin.com/in/andypalmer
Pete Cashmore,https://www.crunchbase.com/person/pete-cashmore,http://www.linkedin.com/in/mashable
David Friedberg,https://www.crunchbase.com/person/david-friedberg,https://www.linkedin.com/in/davidfriedberg/
Vivek Sharma,https://www.crunchbase.com/person/vivek-sharma,http://www.linkedin.com/in/vivsharma
Matias de Tezanos,https://www.crunchbase.com/person/matias-de-tezanos,https://www.linkedin.com/in/matiasdetezanos
