Employment Source,January ,February,March,April,May,June,July,August,September,October,November,December,Total
Billboard,520,520,520,520,0,0,612,612,729,749,910,500,6192
Careerbuilder,410,410,410,820,820,410,410,820,820,1230,820,410,7790
Company Intranet - Partner,0,0,0,0,0,0,0,0,0,0,0,0,0
Diversity Job Fair,0,5129,0,0,0,0,0,4892,0,0,0,0,10021
Employee Referral,0,0,0,0,0,0,0,0,0,0,0,0,0
Glassdoor,0,0,0,0,0,0,0,0,0,0,0,0,0
Information Session,0,0,0,0,0,0,0,0,0,0,0,0,0
Internet Search,0,0,0,0,0,0,0,0,0,0,0,0,0
MBTA ads,640,640,640,640,640,640,640,1300,1300,1300,1300,1300,10980
Monster.com,500,500,500,440,500,500,440,500,440,440,500,500,5760
Newspager/Magazine,629,510,293,810,642,675,707,740,772,805,838,870,8291
On-campus Recruiting,0,0,2500,0,0,2500,0,0,2500,0,0,0,7500
On-line Web application,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,0,492,0,829,744,0,610,0,0,510,0,810,3995
Pay Per Click,110,110,60,121,110,109,130,146,105,109,105,110,1323
Pay Per Click - Google,330,330,180,362,197,152,389,437,315,327,315,176,3509
Professional Society,100,100,100,100,100,100,100,100,100,100,100,100,1200
Search Engine - Google Bing Yahoo,330,410,388,372,472,412,416,495,619,502,389,378,5183
Social Networks - Facebook Twitter etc,420,481,452,479,392,508,578,466,389,439,491,478,5573
Vendor Referral,0,0,0,0,0,0,0,0,0,0,0,0,0
Website Banner Ads,400,400,300,388,592,610,620,669,718,767,816,865,7143
Word of Mouth,0,0,0,0,0,0,0,0,0,0,0,0,0
