date,price,change,future_1m_index,Diff_future_1m_index,Ratio_future_1m_index,future_1m_up,future_1m_down,future_1m_up_2pct,future_1m_down_2pct,future_3m_index,Diff_future_3m_index,Ratio_future_3m_index,future_3m_up,future_3m_down,future_3m_up_2pct,future_3m_down_2pct,future_6m_index,Diff_future_6m_index,Ratio_future_6m_index,future_6m_up,future_6m_down,future_6m_up_2pct,future_6m_down_2pct,future_12m_index,Diff_future_12m_index,Ratio_future_12m_index,future_12m_up,future_12m_down,future_12m_up_2pct,future_12m_down_2pct,cnt_up,cnt_down,cnt_up_2pct,cnt_down_2pct
1990/12/19,99.98,0,127.33,27.35,0.273554711,28,3,7,0,129.6463736,29.66637363,0.296723081,47,44,7,1,123.0735912,23.09359116,0.230982108,83,98,7,1,155.2639335,55.28393352,0.552949925,227,134,7,1,0,1,0,0
1990/12/20,104.39,4.41,128.2929032,23.90290323,0.228976944,27,4,6,0,129.8521978,25.4621978,0.243914147,46,45,6,1,123.2056354,18.81563536,0.180243657,83,98,6,1,155.7444321,51.35443213,0.491947812,227,134,6,1,1,0,1,0
1990/12/21,109.13,4.74,129.1029032,19.97290323,0.183019364,26,5,5,0,130.0004396,20.87043956,0.191243834,45,46,5,1,123.3185635,14.18856354,0.130015244,83,98,5,1,156.2140997,47.08409972,0.431449645,227,134,5,1,1,0,1,0
1990/12/22,109.13,4.74,129.896129,20.76612903,0.190287996,25,6,4,0,130.1486813,21.01868132,0.19260223,44,47,4,1,123.4386188,14.30861878,0.131115356,83,98,4,1,156.6860665,47.55606648,0.435774457,227,134,4,1,1,0,1,0
1990/12/23,109.13,4.74,130.6716129,21.5416129,0.197394052,24,7,3,0,130.2969231,21.16692308,0.193960626,43,48,3,1,123.558674,14.42867403,0.132215468,83,98,3,1,157.1598615,48.0298615,0.440116022,227,134,3,1,1,0,1,0
1990/12/24,114.55,5.42,131.2541935,16.70419355,0.145824474,23,8,2,0,130.3801099,15.83010989,0.138193888,42,49,2,1,123.6487845,9.09878453,0.079430681,83,98,2,1,157.6260111,43.07601108,0.376045492,227,134,2,1,1,0,1,0
1990/12/25,120.25,5.7,131.6348387,11.38483871,0.094676413,22,9,1,0,130.3951648,10.14516484,0.084367275,41,50,1,1,123.7146409,3.464640884,0.028811982,83,98,1,1,158.0763712,37.82637119,0.314564417,227,134,1,1,1,0,1,0
1990/12/26,125.27,5.02,131.8535484,6.583548387,0.052554869,21,10,0,0,130.3495604,5.07956044,0.040548898,40,51,0,1,123.7600552,-1.509944751,-0.012053522,83,98,0,1,158.5128255,33.24282548,0.265369406,227,134,0,1,1,0,1,0
1990/12/27,125.28,0.01,132.0719355,6.791935484,0.054214044,20,11,0,0,130.2982418,5.018241758,0.040056208,39,52,0,1,123.8128177,-1.46718232,-0.011711225,83,98,0,1,158.9570637,33.67706371,0.268814366,227,134,0,1,1,0,0,0
1990/12/28,126.45,1.17,132.2335484,5.783548387,0.045737828,19,12,0,0,130.2294505,3.779450549,0.029888893,38,53,0,1,123.8666298,-2.583370166,-0.020429974,83,98,0,1,159.3996399,32.94963989,0.260574455,227,134,0,1,1,0,0,0
1990/12/29,126.45,1.17,132.3787097,5.928709677,0.046885802,18,13,0,0,130.1606593,3.710659341,0.029344874,37,54,0,1,123.928011,-2.52198895,-0.019944555,83,98,0,1,159.8447922,33.39479224,0.264094838,227,134,0,1,1,0,0,0
1990/12/30,126.45,1.17,132.5074194,6.057419355,0.047903672,17,14,0,0,130.0918681,3.641868132,0.028800855,36,55,0,1,123.9893923,-2.460607735,-0.019459136,83,98,0,1,160.2923823,33.84238227,0.267634498,227,134,0,1,1,0,0,0
1990/12/31,127.61,1.16,132.5835484,4.973548387,0.038974598,16,15,0,0,130.0162637,2.406263736,0.018856388,36,55,0,1,124.0443646,-3.565635359,-0.027941661,83,98,0,1,160.7445706,33.13457064,0.259654969,227,134,0,1,1,0,0,0
1991/1/1,127.61,1.16,132.6448387,5.03483871,0.039454892,15,16,0,0,129.9459341,2.335934066,0.018305259,36,55,0,1,124.0954144,-3.514585635,-0.027541616,82,99,0,1,161.196759,33.586759,0.263198488,227,134,0,1,1,0,0,0
1991/1/2,128.84,1.23,132.6664516,3.826451613,0.029699252,14,17,0,0,129.8675824,1.027582418,0.007975647,36,55,0,1,124.1347514,-4.705248619,-0.036520092,81,100,0,1,161.6455402,32.80554017,0.254622324,227,134,0,1,1,0,0,0
1991/1/3,130.14,1.3,132.646129,2.506129032,0.019257177,13,18,0,0,129.7750549,-0.364945055,-0.00280425,36,55,0,1,124.1630939,-5.976906077,-0.045926741,80,101,0,1,162.0931025,31.95310249,0.245528681,227,134,0,1,1,0,0,0
1991/1/4,131.44,1.3,132.5690323,1.129032258,0.008589716,12,19,0,0,129.6662637,-1.773736264,-0.013494646,35,56,0,1,124.191768,-7.248232044,-0.055144796,80,101,0,1,162.5399446,31.0999446,0.236609439,227,134,0,1,1,0,0,0
1991/1/5,131.44,1.3,132.4767742,1.036774194,0.007887813,11,20,0,0,129.5574725,-1.882527473,-0.014322333,34,57,0,1,124.2167403,-7.223259669,-0.054954806,79,102,0,1,162.9867867,31.5467867,0.240009028,227,134,0,1,1,0,0,0
1991/1/6,131.44,1.3,132.4025806,0.962580645,0.007323346,11,20,0,0,129.4486813,-1.991318681,-0.01515002,33,58,0,1,124.2417127,-7.198287293,-0.054764815,78,103,0,1,163.4363989,31.99639889,0.243429693,227,134,0,1,1,0,0,0
1991/1/7,132.06,0.62,132.3293548,0.269354839,0.00203964,11,20,0,0,129.3281319,-2.731868132,-0.020686568,32,59,0,1,124.2632597,-7.796740331,-0.059039379,77,104,0,1,163.8919668,31.83196676,0.241041699,227,134,0,1,1,0,0,0
1991/1/8,132.68,0.62,132.2551613,-0.42483871,-0.00320198,11,20,0,0,129.1956044,-3.484395604,-0.026261649,31,60,0,1,124.2776243,-8.402375691,-0.063328125,76,105,0,1,164.3458172,31.66581717,0.238663078,227,134,0,1,1,0,0,0
1991/1/9,133.34,0.66,132.1596774,-1.180322581,-0.008851977,11,20,0,0,129.0507692,-4.289230769,-0.032167622,30,61,0,1,124.2848066,-9.05519337,-0.067910555,75,106,0,1,164.7978393,31.45783934,0.235921999,227,134,0,1,1,0,0,0
1991/1/10,133.97,0.63,132.043871,-1.926129032,-0.014377316,11,20,0,0,128.8932967,-5.076703297,-0.037894329,29,62,0,1,124.2849171,-9.685082873,-0.072292923,74,107,0,1,165.2513296,31.28132964,0.233495034,227,134,0,1,1,0,0,0
1991/1/11,134.6,0.63,131.9267742,-2.673225806,-0.019860519,11,20,0,0,128.7241758,-5.875824176,-0.043653969,28,63,0,1,124.2781768,-10.3218232,-0.076685165,73,108,0,1,165.7060942,31.10609418,0.231100254,227,134,0,1,1,0,0,0
1991/1/12,134.6,0.63,131.8219355,-2.778064516,-0.020639409,11,20,0,0,128.5550549,-6.044945055,-0.044910439,27,64,0,1,124.268232,-10.33176796,-0.076759049,72,109,0,1,166.1633241,31.5633241,0.234497207,227,134,0,1,1,0,0,0
1991/1/13,134.6,0.63,131.7354839,-2.864516129,-0.021281695,11,20,0,0,128.3859341,-6.214065934,-0.046166909,26,65,0,1,124.2582873,-10.34171271,-0.076832932,71,110,0,1,166.6232133,32.0232133,0.237913918,227,134,0,1,1,0,0,0
1991/1/14,134.67,0.07,131.6664516,-3.003548387,-0.022303025,11,20,0,0,128.2112088,-6.458791209,-0.047960134,25,66,0,1,124.2479558,-10.4220442,-0.077389502,70,111,0,1,167.0862604,32.41626039,0.240708847,227,134,0,1,1,0,0,0
1991/1/15,134.74,0.07,131.5951613,-3.14483871,-0.023340053,11,20,0,0,128.030989,-6.709010989,-0.049792274,24,67,0,1,124.239116,-10.50088398,-0.077934422,70,111,0,1,167.5491136,32.80911357,0.243499433,227,134,0,1,1,0,0,0
1991/1/16,134.24,-0.5,131.54,-2.7,-0.02011323,12,19,0,0,127.8514286,-6.388571429,-0.047590669,24,67,0,1,124.2403867,-9.99961326,-0.074490564,71,110,0,1,168.0133518,33.7733518,0.251589331,228,133,0,1,0,1,0,0
1991/1/17,134.25,0.01,131.4845161,-2.765483871,-0.020599507,12,19,0,0,127.6668132,-6.583186813,-0.049036773,23,68,0,1,124.2490055,-10.00099448,-0.074495303,71,110,0,1,168.4809695,34.23096953,0.254979289,228,133,0,1,1,0,0,0
1991/1/18,134.24,-0.01,131.4293548,-2.810645161,-0.020937464,13,18,0,0,127.4782418,-6.761758242,-0.050370666,23,68,0,1,124.2651934,-9.97480663,-0.07430577,72,109,0,1,168.9560388,34.71603878,0.258611731,229,132,0,1,0,1,0,0
1991/1/19,134.24,-0.01,131.3935484,-2.846451613,-0.021204199,14,17,0,0,127.2896703,-6.95032967,-0.0517754,23,68,0,1,124.2787845,-9.96121547,-0.074204525,72,109,0,1,169.4335734,35.19357341,0.262169051,230,131,0,1,0,1,0,0
1991/1/20,134.24,-0.01,131.3751613,-2.86483871,-0.02134117,15,16,0,0,127.1010989,-7.138901099,-0.053180133,23,68,0,1,124.2923757,-9.947624309,-0.07410328,72,109,0,1,169.9117175,35.67171745,0.265730911,231,130,0,1,0,1,0,0
1991/1/21,134.24,0,131.3764516,-2.863548387,-0.021331558,16,15,0,0,126.9075824,-7.332417582,-0.054621704,23,68,0,1,124.3059669,-9.934033149,-0.074002035,72,109,0,1,170.3913296,36.15132964,0.269303707,232,129,0,1,0,1,0,0
1991/1/22,133.72,-0.52,131.4135484,-2.306451613,-0.017248367,17,14,0,0,126.7149451,-7.005054945,-0.052385993,23,68,0,1,124.33,-9.39,-0.070221358,73,108,0,1,170.8723823,37.15238227,0.277837139,233,128,0,1,0,1,0,0
1991/1/23,133.17,-0.55,131.4683871,-1.701612903,-0.01277775,18,13,0,0,126.523956,-6.646043956,-0.049906465,23,68,0,1,124.3643646,-8.805635359,-0.066123266,74,107,0,1,171.3549584,38.18495845,0.286738443,234,127,0,1,0,1,0,0
1991/1/24,132.61,-0.56,131.5412903,-1.068709677,-0.008059043,19,12,0,0,126.3343956,-6.275604396,-0.047323764,23,68,0,1,124.4089503,-8.201049724,-0.061843373,75,106,0,1,171.8391136,39.22911357,0.295823193,235,126,0,1,0,1,0,0
1991/1/25,132.05,-0.56,131.6170968,-0.432903226,-0.003278328,19,12,0,0,126.1531868,-5.896813187,-0.044655912,24,67,0,1,124.4539227,-7.596077348,-0.057524251,75,106,0,1,172.3261496,40.27614958,0.305006812,236,125,0,1,0,1,0,0
1991/1/26,132.05,-0.56,131.6777419,-0.372258065,-0.002819069,19,12,0,0,125.971978,-6.078021978,-0.046028186,25,66,0,1,124.5014917,-7.548508287,-0.057164016,76,105,0,1,172.8134072,40.7634072,0.30869676,237,124,0,1,0,1,0,0
1991/1/27,132.05,-0.56,131.7235484,-0.326451613,-0.002472182,19,12,0,0,125.7907692,-6.259230769,-0.04740046,26,65,0,1,124.5490608,-7.500939227,-0.056803781,77,104,0,1,173.3022715,41.25227147,0.312398875,238,123,0,1,0,1,0,0
1991/1/28,131.46,-0.59,131.7735484,0.313548387,0.002385124,19,12,0,0,125.6071429,-5.852857143,-0.044521962,26,65,0,1,124.5998895,-6.860110497,-0.052184014,78,103,0,1,173.7942105,42.33421053,0.322031116,239,122,0,1,0,1,0,0
1991/1/29,130.95,-0.51,131.8245161,0.874516129,0.006678245,19,12,0,0,125.4202198,-5.52978022,-0.04222818,26,65,0,1,124.6582873,-6.291712707,-0.04804668,79,102,0,1,174.2875623,43.33756233,0.330947402,240,121,0,1,0,1,0,0
1991/1/30,130.44,-0.51,131.8919355,1.451935484,0.01113106,19,12,0,0,125.2389011,-5.201098901,-0.039873497,26,65,0,1,124.7243094,-5.715690608,-0.043818542,80,101,0,1,174.7823269,44.34232687,0.339944242,241,120,0,1,0,1,0,0
1991/1/31,129.97,-0.47,131.9745161,2.004516129,0.015422914,19,12,0,0,125.0541758,-4.915824176,-0.03782276,26,65,0,1,124.8007182,-5.169281768,-0.039772884,81,100,0,1,175.2854848,45.31548476,0.348661112,242,119,0,1,0,1,0,0
1991/2/1,129.51,-0.46,132.0545161,2.544516129,0.019647256,19,12,0,0,124.8662637,-4.643736264,-0.035856198,26,65,0,1,124.8876243,-4.622375691,-0.035691265,82,99,0,1,175.790554,46.28055402,0.357351201,243,118,0,1,0,1,0,0
1991/2/2,129.51,-0.46,132.1174194,2.607419355,0.020132958,19,12,0,0,124.6783516,-4.831648352,-0.037307145,26,65,0,1,124.9824862,-4.527513812,-0.034958797,83,98,0,1,176.2972299,46.78722992,0.361263454,244,117,0,1,0,1,0,0
