城市,省份,城市等级
安庆,安徽,4
蚌埠,安徽,4
亳州,安徽,6
巢湖,安徽,6
池州,安徽,6
滁州,安徽,4
阜阳,安徽,4
合肥,安徽,6
淮北,安徽,6
淮南,安徽,6
黄山,安徽,6
六安,安徽,4
马鞍山,安徽,4
宿州,安徽,4
铜陵,安徽,6
芜湖,安徽,3
宣城,安徽,6
北京,北京市,1
福州,福建,2
龙岩,福建,4
南平,福建,4
宁德,福建,4
莆田,福建,4
泉州,福建,3
三明,福建,4
厦门,福建,6
漳州,福建,3
其他,福建,6
白银,甘肃,6
定西,甘肃,6
甘南,甘肃,6
嘉峪关,甘肃,5
金昌,甘肃,6
酒泉,甘肃,5
兰州,甘肃,3
临夏,甘肃,6
陇南,甘肃,6
平凉,甘肃,6
庆阳,甘肃,6
天水,甘肃,5
武威,甘肃,5
张掖,甘肃,5
其他,甘肃,6
甘南藏族自治州,甘肃,6
临夏回族自治州,甘肃,6
潮州,广东,6
东莞,广东,2
佛山,广东,2
广州,广东,1
河源,广东,6
惠州,广东,3
江门,广东,3
揭阳,广东,4
茂名,广东,3
梅州,广东,6
清远,广东,4
汕头,广东,4
汕尾,广东,6
韶关,广东,4
深圳,广东,1
阳江,广东,4
云浮,广东,6
湛江,广东,3
肇庆,广东,4
中山,广东,3
珠海,广东,3
其他,广东,6
百色,广西,5
北海,广西,5
崇左,广西,6
防城港,广西,6
贵港,广西,6
桂林,广西,4
河池,广西,6
贺州,广西,6
来宾,广西,6
柳州,广西,3
南宁,广西,6
钦州,广西,6
梧州,广西,6
玉林,广西,4
其他,广西,6
安顺,贵州,6
毕节,贵州,4
贵阳,贵州,3
六盘水,贵州,6
黔东南,贵州,6
黔南,贵州,6
黔西南,贵州,6
铜仁,贵州,6
遵义,贵州,4
其他,贵州,6
海口,海南,3
三亚,海南,6
其它,海南,6
保定,河北,3
沧州,河北,3
承德,河北,4
邯郸,河北,3
衡水,河北,4
廊坊,河北,3
秦皇岛,河北,4
石家庄,河北,6
唐山,河北,2
邢台,河北,4
张家口,河北,4
其他,河北,6
安阳,河南,4
鹤壁,河南,6
济源,河南,6
焦作,河南,4
开封,河南,4
洛阳,河南,3
漯河,河南,6
南阳,河南,3
平顶山,河南,6
濮阳,河南,4
三门峡,河南,4
商丘,河南,4
新乡,河南,4
信阳,河南,4
许昌,河南,4
郑州,河南,2
周口,河南,4
驻马店,河南,4
其他,河南,6
大庆,黑龙江,3
大兴安岭,黑龙江,6
哈尔滨,黑龙江,6
鹤岗,黑龙江,6
黑河,黑龙江,6
鸡西,黑龙江,6
佳木斯,黑龙江,6
牡丹江,黑龙江,4
七台河,黑龙江,6
齐齐哈尔,黑龙江,4
双鸭山,黑龙江,6
绥化,黑龙江,4
伊春,黑龙江,6
其他,黑龙江,6
鄂州,湖北,6
恩施,湖北,6
黄冈,湖北,4
黄石,湖北,4
荆门,湖北,4
荆州,湖北,4
潜江,湖北,6
神农架林区,湖北,6
十堰,湖北,4
随州,湖北,6
天门,湖北,6
武汉,湖北,2
仙桃,湖北,6
咸宁,湖北,6
襄樊,湖北,6
孝感,湖北,4
宜昌,湖北,3
其他,湖北,6
襄阳,湖北,3
长沙,湖南,2
株洲,湖南,4
湘潭,湖南,4
衡阳,湖南,6
邵阳,湖南,4
岳阳,湖南,3
