date,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
197901,4.18,3.69,2.28,0.77,-1.26,5.49,-0.75
197902,-3.41,0.47,1.17,0.73,-1.08,1.28,0.94
197903,5.75,3.19,-0.67,0.81,2.91,1.38,-0.35
197904,0.05,2.18,1.06,0.8,0.81,-0.37,-0.4
197905,-2.18,0.34,1.62,0.82,-0.36,0.99,0.75
197906,3.88,1.17,1.42,0.81,0.84,1.2,-2.71
197907,0.73,1.31,1.75,0.77,-1.07,0.57,-2.02
197908,5.7,2.07,-1.53,0.77,-0.24,0.81,-1.74
197909,-0.69,-0.29,-0.91,0.83,5.33,-1.56,0.04
197910,-8.14,-3.33,-1.87,0.87,2.15,-1.96,1.52
197911,5.37,2.75,-3.34,0.99,7.95,1.37,-2.28
197912,1.87,4.24,-2.04,0.95,4.76,-1.93,-0.34
198001,5.76,1.68,1.78,0.8,7.47,-3.38,-0.85
198002,-0.79,-1.79,0.58,0.89,7.9,-4.94,-0.09
198003,-13.23,-6.64,-1.02,1.21,-9.61,8.38,2.61
198004,3.97,0.99,1.09,1.26,-0.43,1.36,-0.13
198005,5.2,2.13,0.38,0.81,-1.13,2.87,0.78
198006,3.16,1.69,-0.91,0.61,1.59,2.15,-2.92
198007,6.41,4.21,-6.27,0.53,0.36,2.93,-1.74
198008,1.72,3.91,-2.69,0.64,3.2,-0.99,-1.55
198009,2.2,0.87,-4.71,0.75,5.44,-1.44,-1.79
198010,1.06,2.45,-2.75,0.95,7.33,-1.99,-2.83
198011,9.54,-3.46,-8.52,0.96,15.21,-9.86,-7.79
198012,-4.75,-0.23,2.67,1.31,-6.63,6.36,3.43
198101,-5.05,3.02,6.88,1.04,-7.91,-2.29,7.51
198102,0.48,-0.29,1,1.07,-1.39,-2.22,2.65
198103,3.41,3.61,0.74,1.21,0.78,1.62,1.59
198104,-2.21,4.4,2.28,1.08,-0.96,-1.53,2.83
198105,0.21,2.05,-0.45,1.15,3.73,-3.74,1.55
198106,-2.37,-0.86,5.13,1.35,-5.9,4.53,1.01
198107,-1.55,-2.26,-0.53,1.24,-2.53,-0.58,-3.51
198108,-6.91,-1.93,4.78,1.28,-1.11,-0.67,1.27
198109,-7.62,-2.64,5.19,1.24,1.93,-1.11,5.23
198110,4.81,2.24,-4.36,1.21,4.06,4.62,-4.92
198111,3.51,-0.93,1.86,1.07,-0.26,2.58,0.62
198112,-3.68,1.2,0.72,0.87,1.32,1.63,1.4
