customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Mortgage,Pension,Savings
15,45,12,45,0,0,0,0,65,13453,2,33,36,0,4,2,1,14,19,7.602,0,0,0
16,43,12,43,0,0,0,0,65,13453,2,34,36,0,0,3,2,14,19,10.142999999999999,0,0,0
30,23,0,23,0,0,0,0,65,13453,2,30,36,0,1,0,0,14,19,0.0,0,0,0
42,35,8,35,1,0,0,0,65,13453,2,22,24,0,1,0,0,14,19,0.0,0,1,0
52,43,12,43,1,0,0,0,47,14124,3,40,48,3,1,0,0,16,35,0.0,0,1,0
57,51,19,51,1,0,0,0,50,14838,2,33,36,3,0,0,0,9,39,0.0,0,0,0
74,31,0,31,1,0,0,0,50,14838,3,0,12,3,3,0,0,9,39,0.0,1,0,0
74,31,0,31,1,0,0,0,50,14838,3,0,12,3,3,0,0,9,39,0.0,1,0,0
89,46,11,46,1,0,0,0,32,14783,2,6,12,6,3,2,1,25,42,7.7989999999999995,0,1,0
90,70,38,70,0,0,0,0,32,14783,1,35,36,6,2,2,2,25,42,11.802999999999999,0,0,0
95,39,11,39,1,0,0,0,32,14783,2,16,24,6,2,4,3,25,42,12.407,0,0,0
105,31,0,31,0,0,0,0,32,14783,2,17,24,6,0,0,0,25,42,0.0,0,0,0
106,36,7,36,0,0,0,0,32,14783,2,-1,0,6,1,0,0,25,42,0.0,0,0,0
121,49,18,49,0,0,0,0,77,15494,7,28,36,1,1,2,1,6,16,10.352,0,0,0
132,38,11,38,0,0,0,0,38,15512,5,30,36,5,1,5,4,11,49,13.587,0,1,0
139,38,9,38,1,0,0,0,60,15535,7,19,24,1,1,0,0,15,24,0.0,0,0,0
147,37,7,37,1,0,0,0,58,15562,7,11,24,1,0,0,0,10,31,0.0,0,0,0
155,42,14,42,0,0,0,0,58,15562,7,-2,0,1,2,0,0,10,31,0.0,1,1,0
156,34,5,34,1,0,0,0,58,15562,7,27,36,1,0,0,0,10,31,0.0,0,0,0
161,54,29,54,1,0,0,0,42,15576,1,39,48,4,0,2,1,17,40,7.702000000000001,0,1,0
164,35,6,35,0,0,0,0,42,15576,2,-3,0,4,1,1,0,17,40,0.0,0,0,0
181,77,48,77,1,0,0,0,60,16292,2,36,48,1,2,4,3,16,23,9.792,0,1,0
183,57,28,57,0,0,0,0,60,16292,2,15,24,1,7,1,1,16,23,10.299000000000001,1,0,0
191,24,0,24,0,0,0,0,60,16287,3,17,24,1,1,0,0,7,32,0.0,0,0,0
193,40,10,40,0,0,0,0,60,16287,3,41,48,1,0,1,1,7,32,11.562999999999999,0,1,0
199,37,3,37,0,0,0,0,60,16287,3,39,48,1,0,0,0,7,32,0.0,0,0,0
203,46,17,46,0,0,0,0,41,16347,7,30,36,4,1,0,0,11,46,0.0,1,0,0
204,18,0,18,0,0,0,0,41,16347,7,19,24,4,1,5,5,11,46,11.929,0,0,0
210,42,13,42,0,0,0,0,57,16959,2,40,48,2,2,3,2,9,33,9.571,0,0,0
210,42,13,42,0,0,0,0,57,16959,2,40,48,2,2,3,2,9,33,9.571,0,0,0
222,29,2,29,1,0,0,0,66,17202,6,26,36,0,1,0,0,7,26,0.0,1,0,0
234,29,0,29,0,0,0,0,52,17570,5,22,24,3,0,0,0,12,35,0.0,0,0,0
236,41,13,41,1,0,0,0,61,17790,7,27,36,1,1,3,2,6,31,13.440999999999999,0,0,0
236,41,13,41,1,0,0,0,61,17790,7,27,36,1,1,3,2,6,31,13.440999999999999,0,1,0
252,43,14,43,0,0,0,0,61,17790,7,6,12,1,0,0,0,6,31,0.0,0,1,0
257,55,26,55,0,0,0,0,61,17790,6,7,12,1,1,0,0,6,31,0.0,0,0,0
259,34,4,34,0,0,0,0,61,17790,7,18,24,1,1,0,0,6,31,0.0,0,0,0
260,47,15,47,0,0,0,0,61,17790,7,13,24,1,0,0,0,6,31,0.0,0,0,0
265,50,24,50,1,0,0,0,61,17790,6,27,36,1,0,1,1,6,31,9.199,0,0,0
265,50,24,50,1,0,0,0,61,17790,6,27,36,1,0,1,1,6,31,9.199,0,1,0
281,34,5,34,1,0,0,0,54,17751,2,6,12,2,0,3,1,6,39,7.5889999999999995,0,0,0
289,50,21,50,1,0,0,0,51,17774,3,21,24,3,4,4,3,5,43,10.327,1,0,0
290,45,18,45,0,0,0,0,51,17774,4,5,12,3,0,4,2,5,43,8.555,0,1,0
295,50,19,50,0,0,0,0,51,17774,3,5,12,3,1,3,2,5,43,8.461,0,1,0
301,46,20,46,1,0,0,0,51,17774,3,36,48,3,1,4,3,5,43,10.257,0,0,0
53200,40,15,40,0,0,0,0,54,51938,7,10,12,2,1,5,9,11,34,15.672,0,0,0
53214,43,13,43,1,0,0,0,59,51862,7,17,24,2,1,3,2,8,32,11.251,0,0,1
53226,43,12,43,1,0,0,0,50,51929,6,8,12,3,2,1,1,15,34,11.815999999999999,0,1,1
53226,43,12,43,1,0,0,0,50,51929,6,8,12,3,2,1,1,15,34,11.815999999999999,1,1,1
53233,43,13,43,0,0,0,0,52,51915,5,22,24,3,1,2,1,12,34,9.312000000000001,0,1,1
53237,44,14,44,1,0,0,0,39,51925,6,-6,0,5,0,0,0,20,39,0.0,0,0,1
53237,44,14,44,1,0,0,0,39,51925,6,-6,0,5,0,0,0,20,39,0.0,0,0,0
53251,47,17,47,0,0,0,0,47,51932,2,22,24,4,1,0,0,13,39,0.0,0,0,0
53267,33,6,33,1,0,0,0,48,51901,4,39,48,3,2,3,2,24,26,8.449,0,0,1
53283,38,9,38,1,0,0,0,36,51911,5,15,24,5,0,0,0,10,52,0.0,0,0,0
53300,38,6,38,1,0,0,0,59,51868,2,31,36,1,0,0,0,13,27,0.0,0,0,0
53300,38,6,38,1,0,0,0,59,51868,2,31,36,1,0,0,0,13,27,0.0,0,0,1
53301,47,14,47,1,0,0,0,44,51852,5,25,36,4,0,2,1,11,44,7.856,0,0,1
53302,50,23,50,0,0,0,0,53,51915,6,20,24,2,0,0,0,15,31,0.0,0,0,0
53305,34,2,34,0,0,0,0,50,51930,7,39,48,3,0,3,2,11,37,8.525,0,0,1
53311,37,4,37,0,0,0,0,56,51909,4,12,24,2,0,3,2,6,36,9.686,0,0,0
53331,52,23,52,0,0,0,0,62,51890,2,26,36,1,0,0,0,11,26,0.0,0,0,1
53334,51,15,51,0,0,0,0,74,51926,6,40,48,0,0,2,1,8,16,7.906000000000001,0,0,0
53342,52,23,52,1,0,0,0,30,51924,6,-3,0,6,2,0,0,9,59,0.0,1,1,1
53351,42,10,42,0,0,0,0,59,51934,3,33,36,1,2,0,0,8,31,0.0,0,0,0
53356,52,24,52,1,0,0,0,55,51923,5,25,36,2,1,3,2,5,39,9.65,0,0,1
53357,59,31,59,1,0,0,0,64,51914,4,31,36,1,4,3,3,7,28,12.189,1,1,0
53358,20,0,20,1,0,0,0,51,51929,4,34,36,3,0,0,0,14,34,0.0,0,0,0
53366,44,16,44,1,0,0,0,53,51863,3,27,36,2,3,2,1,11,34,7.422000000000001,0,1,0
53366,44,16,44,1,0,0,0,53,51863,3,27,36,2,3,2,1,11,34,7.422000000000001,0,0,1
53382,32,4,32,1,0,0,0,67,51894,3,35,36,0,0,0,0,8,24,0.0,0,0,1
53384,30,0,30,0,0,0,0,52,51934,7,37,48,3,1,4,1,11,35,13.219000000000001,0,0,0
53388,42,13,42,0,0,0,0,20,51912,7,36,48,8,0,3,2,13,65,11.967,0,1,0
53390,49,22,49,0,0,0,0,53,51886,4,33,36,3,0,3,1,10,35,11.84,0,1,1
53394,37,8,37,1,0,0,0,50,51919,2,37,48,3,0,0,0,18,30,0.0,0,0,1
53398,39,8,39,0,0,0,0,53,51949,3,17,24,2,0,0,0,4,41,0.0,0,1,1
53400,60,34,60,0,0,0,0,47,51933,2,13,24,4,0,0,0,23,29,0.0,0,0,0
53411,52,25,52,1,0,0,0,62,51879,3,36,48,1,0,0,0,7,29,0.0,0,0,1
53415,50,23,50,0,0,0,0,21,51902,1,11,24,8,2,0,0,27,50,0.0,0,0,0
53416,44,15,44,1,0,0,0,58,51889,2,22,24,2,0,6,3,9,32,12.049000000000001,0,1,1
53417,53,25,53,0,0,0,0,58,51889,1,33,36,2,2,0,0,9,32,0.0,0,1,0
53421,37,12,37,0,0,0,0,58,51923,7,11,24,1,0,3,2,14,26,13.450999999999999,0,0,0
53434,41,14,41,0,0,0,0,62,51929,4,-1,0,1,0,1,0,9,27,0.0,0,0,0
53435,27,0,27,1,0,0,0,62,51929,4,-6,0,1,0,0,0,9,27,0.0,0,0,0
53437,45,16,45,1,0,0,0,43,51888,6,7,12,4,0,3,2,9,46,8.415,0,0,1
53453,46,20,46,1,0,0,0,72,51891,6,17,24,0,0,2,1,11,15,8.766,0,0,1
53457,31,0,31,1,0,0,0,56,51871,5,31,36,2,0,0,0,9,34,0.0,0,0,1
53459,53,24,53,1,0,0,1,59,51946,1,30,36,1,1,0,17,10,29,23.955,0,0,1
53469,32,2,32,1,0,0,0,35,51862,5,41,48,5,1,3,2,14,49,10.122,0,0,1
53469,32,2,32,1,0,0,0,35,51862,5,41,48,5,1,3,2,14,49,10.122,0,0,1
53476,42,15,42,1,0,0,0,53,51941,4,29,36,2,3,4,1,11,34,8.166,1,0,0
53476,42,15,42,1,0,0,0,53,51941,4,29,36,2,3,4,1,11,34,8.166,0,0,0
53479,48,19,48,0,0,0,0,43,51869,6,18,24,4,0,0,0,6,49,0.0,0,1,0
53482,40,11,40,0,0,0,0,41,51851,4,5,12,5,1,0,0,11,46,0.0,0,0,1
53482,40,11,40,0,0,0,0,41,51851,4,5,12,5,1,0,0,11,46,0.0,0,1,1
53487,37,10,37,1,0,0,0,61,51912,4,41,48,1,5,2,2,11,27,8.356,1,0,0
53494,46,15,46,0,0,0,0,53,51915,5,-6,0,3,1,0,0,10,35,0.0,0,1,0
53505,39,12,39,1,0,0,0,45,51927,4,37,48,4,1,3,1,15,39,12.833,0,1,1
53516,32,0,32,0,0,0,0,47,51948,3,21,24,3,0,1,1,11,40,8.802,0,0,0
53523,41,12,41,0,0,0,0,77,51921,4,6,12,1,1,4,2,4,18,10.185,0,0,0
53524,41,14,41,0,0,0,0,77,51921,4,30,36,1,0,2,1,4,18,9.939,0,0,0
53528,44,16,44,0,0,0,0,57,51879,6,39,48,2,3,0,0,4,37,0.0,1,0,0
53528,44,16,44,0,0,0,0,57,51879,6,39,48,2,3,0,0,4,37,0.0,1,1,1
53529,37,10,37,1,0,0,0,59,51861,2,7,12,2,1,0,0,10,29,0.0,0,1,0
53536,52,18,52,0,0,0,0,54,51866,3,19,24,2,0,6,3,9,36,12.04,0,0,1
53540,44,18,44,1,0,0,0,63,51919,6,14,24,1,0,2,1,11,25,7.872000000000001,0,0,1
53544,49,20,49,1,0,0,0,58,51923,6,29,36,2,1,0,0,13,27,0.0,0,0,0
53549,29,1,29,0,0,0,0,48,51919,4,-2,0,3,4,0,0,9,41,0.0,0,0,0
53552,20,0,20,1,0,0,0,58,51855,5,35,48,1,1,0,0,10,30,0.0,0,0,0
53556,29,0,29,1,0,0,0,59,51882,5,7,12,1,0,4,2,9,31,10.333,0,0,0
53558,33,6,33,0,0,0,0,45,51872,3,28,36,4,0,2,1,13,41,8.419,0,0,1
53564,41,10,41,1,0,0,0,30,51955,4,11,12,6,0,0,0,12,57,0.0,0,1,0
53570,50,20,50,1,0,0,0,49,52005,1,22,24,3,0,1,23,17,33,30.145,0,1,0
53570,50,20,50,1,0,0,0,49,52005,1,22,24,3,0,1,23,17,33,30.145,0,0,1
53573,34,7,34,1,0,0,0,60,51984,6,-2,0,1,2,2,0,7,31,0.0,1,0,1
53589,34,1,34,0,0,0,0,48,51999,6,23,36,3,0,2,1,12,38,8.116,0,0,0
53590,28,0,28,0,0,0,0,60,52018,4,13,24,1,1,0,0,11,28,0.0,0,0,1
53598,40,14,40,1,0,0,0,51,51991,2,29,36,3,1,3,2,13,34,9.765,0,0,0
53600,44,14,44,1,0,0,0,47,52013,3,16,24,3,0,0,0,12,40,0.0,0,1,0
53600,44,14,44,1,0,0,0,47,52013,3,16,24,3,0,0,0,12,40,0.0,0,1,1
53601,16,0,16,0,0,0,0,52,51974,3,-1,0,3,0,0,0,11,36,0.0,0,0,1
53612,59,27,59,0,0,1,0,41,52030,2,24,36,4,1,0,0,10,47,0.0,0,0,0
53614,37,6,37,1,0,0,0,68,51976,3,39,48,0,0,1,1,7,24,8.546,0,1,0
53621,27,0,27,1,0,0,0,50,51984,6,40,48,3,1,0,0,7,42,0.0,0,0,0
53633,29,1,29,1,0,0,0,23,52032,4,-2,0,8,0,1,0,12,63,0.0,0,0,1
53636,30,1,30,0,0,0,0,67,52032,4,12,24,0,0,2,1,8,23,10.222000000000001,0,0,0
53640,40,16,40,1,0,0,0,71,52028,7,23,36,0,0,2,2,9,18,8.874,0,0,1
53643,28,0,28,1,0,0,0,64,51984,7,9,12,1,3,0,0,14,21,0.0,0,0,1
53649,40,12,40,1,0,0,0,55,51985,2,-2,0,2,0,1,0,6,38,0.0,0,0,1
