,customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score
0,44256,38,11,38,1,0,0,0,58,47958.0,4,41,48,2,1,2,1,9,31,7.949
1,46883,30,1,30,0,0,0,0,55,48606.0,2,23,36,2,4,3,2,11,33,11.437
2,32387,41,13,41,1,0,0,0,59,42152.0,4,39,48,1,0,1,1,11,29,7.4620000000000015
3,25504,42,14,42,1,0,0,0,57,39788.0,3,21,24,2,3,0,0,15,27,0.0
4,35979,42,14,42,1,0,0,0,53,44365.0,6,41,48,3,2,3,1,5,41,7.806
5,29822,32,2,32,1,0,0,0,68,41128.0,7,38,48,0,0,0,0,6,24,0.0
6,36731,56,26,56,0,0,0,0,57,44432.0,5,36,48,2,0,0,0,13,29,0.0
7,8756,41,13,41,0,0,0,0,49,30969.0,7,41,48,3,1,0,0,11,38,0.0
8,112583,43,12,43,1,0,0,0,41,75001.0,6,24,36,4,4,4,38,20,37,45.265
9,18143,28,1,28,1,0,0,0,58,35457.0,7,-4,0,1,2,0,0,9,32,0.0
10,41469,16,0,16,1,0,0,0,68,46586.0,5,22,24,0,0,0,14,10,20,22.291
11,55653,46,17,46,1,0,0,0,63,53199.0,4,32,36,1,0,3,1,8,28,11.672
12,50886,57,26,57,1,0,0,0,41,51000.0,1,20,24,5,0,0,0,14,44,0.0
13,32870,24,0,24,1,0,0,0,56,42440.0,4,29,36,2,1,0,0,12,30,0.0
14,33069,42,13,42,1,0,0,0,44,42426.0,7,-6,0,4,1,0,0,15,39,0.0
15,5319,33,4,33,0,0,0,0,55,27577.0,6,7,12,2,1,0,0,7,36,0.0
16,50846,23,0,23,1,0,0,0,51,51023.0,7,29,36,3,1,3,2,7,41,10.528
17,8983,43,15,43,1,0,0,0,57,31035.0,6,-3,0,2,0,0,0,7,35,0.0
18,36577,39,8,39,1,0,0,0,70,44402.0,4,13,24,0,1,3,2,11,18,10.719
19,13704,42,6,42,0,0,0,0,44,33138.0,5,-6,0,4,0,0,0,11,43,0.0
20,31894,40,6,40,1,0,0,0,35,41959.0,2,12,24,6,0,2,2,13,51,9.308
21,48136,16,0,16,0,0,0,0,45,49836.0,4,32,36,4,1,2,1,10,44,7.566
22,35859,39,9,39,0,0,0,0,60,44427.0,6,-3,0,1,2,2,0,7,31,0.0
23,55728,27,0,27,0,0,0,0,62,53182.0,4,24,36,1,1,0,0,15,21,0.0
24,18607,51,24,51,1,0,0,0,57,35919.0,1,32,36,2,2,4,1,7,34,7.849
25,15254,27,0,27,1,0,0,0,72,34167.0,5,19,24,0,0,0,0,6,20,0.0
26,19640,18,0,18,0,0,0,0,74,36765.0,7,33,36,0,1,5,27,6,19,33.979
27,15033,29,0,29,1,0,0,0,44,33938.0,4,29,36,4,1,4,2,17,38,11.029000000000002
28,29836,56,29,56,0,0,0,0,58,41145.0,1,-4,0,1,0,0,0,7,34,0.0
29,24290,34,6,34,0,0,0,0,68,38903.0,7,-5,0,0,0,0,0,11,19,0.0
30,15065,17,0,17,0,0,0,0,49,33884.0,7,22,24,3,1,3,2,11,39,9.158
31,25462,32,3,32,1,0,0,0,45,39844.0,5,15,24,4,0,0,0,14,39,0.0
32,94027,37,9,37,1,0,0,0,61,67520.0,3,16,24,1,2,2,1,10,27,9.096
33,20400,57,24,57,0,0,0,0,59,37492.0,1,-1,0,1,0,0,0,9,30,0.0
34,56258,53,19,53,0,0,0,0,62,53318.0,3,22,24,1,2,1,3,2,35,11.994000000000002
35,49870,30,0,30,1,0,0,0,55,50690.0,6,9,12,2,3,3,2,9,34,8.385
36,39359,59,30,59,1,0,0,0,72,45675.0,2,14,24,0,1,1,1,11,16,0.0
37,82899,83,51,83,0,0,0,0,46,62854.0,2,27,36,4,2,3,2,10,42,8.469
38,16333,42,16,42,0,0,0,0,59,35081.0,4,40,48,1,2,2,1,12,28,9.239
39,43913,60,31,60,1,0,0,0,58,47942.0,5,22,24,1,0,0,0,9,32,0.0
40,31868,42,12,42,0,0,0,0,55,42002.0,2,15,24,2,3,3,2,15,29,11.666
41,10798,70,36,70,1,0,0,0,53,31933.0,6,30,36,3,0,0,0,11,35,0.0
42,58943,28,3,28,0,0,0,0,56,54619.0,4,41,48,2,0,3,1,12,30,10.312
43,31159,43,15,43,0,0,0,0,55,41787.0,4,9,12,2,1,3,1,13,31,11.069
44,48467,25,0,25,0,0,0,0,47,49948.0,7,30,36,4,1,0,0,5,47,0.0
45,39240,39,12,39,1,0,0,0,43,45716.0,2,20,24,4,3,3,1,12,43,10.203
46,49240,49,23,49,0,0,0,0,50,50216.0,2,34,36,3,0,4,1,8,40,8.82
47,56527,48,20,48,1,0,0,0,47,53378.0,2,-3,0,4,0,0,0,16,36,0.0
48,28397,44,13,44,0,0,0,0,63,40996.0,2,19,24,1,0,4,1,12,23,9.499
49,17899,57,31,57,1,0,0,0,52,35358.0,5,33,36,3,0,0,0,7,39,0.0
50,32630,58,29,58,0,0,0,0,57,42323.0,5,17,24,2,1,2,1,10,31,12.333
51,35583,42,16,42,0,0,0,0,60,44023.0,7,41,48,1,0,3,3,11,28,11.557
52,38187,33,0,33,0,0,0,0,58,45397.0,7,34,36,2,1,0,0,5,36,0.0
53,19623,39,13,39,1,0,0,0,51,36769.0,4,17,24,3,0,0,0,13,35,0.0
54,21416,43,12,43,0,0,0,0,50,38010.0,7,14,24,3,0,4,2,12,37,10.044
55,12811,46,18,46,1,0,0,0,46,32201.0,5,5,12,4,0,2,1,12,41,12.095999999999998
56,13322,33,0,33,1,0,0,0,49,32697.0,7,33,36,3,1,0,0,15,35,0.0
57,49448,38,10,38,0,0,0,0,55,50592.0,3,17,24,2,0,2,1,12,32,11.591
58,54859,45,15,45,1,0,0,0,33,52561.0,4,33,36,6,2,0,0,13,53,0.0
59,1607,21,0,21,0,0,0,0,59,23064.0,7,23,36,1,0,4,4,11,29,10.816
