user_id,cart_time
2be90e7c-9cca-44e0-bcc5-124b945ff168,2017-11-07 20:45:00
4397f73f-1da3-4ab3-91af-762792e25973,2017-05-27 01:35:00
a9db3d4b-0a0a-4398-a55a-ebb2c7adf663,2017-03-04 10:38:00
b594862a-36c5-47d5-b818-6e9512b939b3,2017-09-27 08:22:00
a68a16e2-94f0-4ce8-8ce3-784af0bbb974,2017-07-26 15:48:00
0c998868-9961-490b-8ec2-9981ba667027,2017-11-27 08:54:00
f783c680-1d9a-437d-9f45-7827299b78fa,2017-06-25 08:08:00
f3dd7631-3cf6-4d49-9c6e-b48eda4432b5,2017-01-04 09:57:00
4cdd357a-199e-4d81-ae9e-7252fa34ee0f,2017-05-23 22:25:00
3c3460b3-a56d-4d92-908d-29dcca34db18,2017-01-06 14:56:00
fd80ce93-ae6e-4c0b-9ea4-561f84152026,2017-06-07 01:18:00
dec63120-f40f-4bd1-b53d-45b07709f0dc,2017-01-21 09:56:00
d24cec40-b66a-47ad-afb1-aa19b00eab53,2017-05-16 08:21:00
ff2f2aef-6ca8-45a1-9ae7-46ebdbd81c3c,2017-11-09 12:06:00
5560ba27-4e5f-4523-9b34-a80162a826e5,2017-04-22 14:35:00
5c654a76-fb7e-4e4f-879b-a9543426a5dd,2017-07-19 18:20:00
587456c0-fdc4-4aea-bd18-7fc854bc0f81,2017-06-03 03:19:00
4b44ace4-2721-47a0-b24b-15fbfa2abf85,2017-05-11 03:54:00
0182a7b9-2099-4476-8f7d-51f2c2f71dff,2017-09-08 16:34:00
48a23075-694b-417d-8449-9df921ad95aa,2017-07-09 15:28:00
13019e8b-8ec9-4adc-9660-8c6337575ab8,2017-07-20 12:31:00
5d7d121a-817c-4b84-b4d6-5388092b9aec,2017-06-10 14:54:00
36490e24-bb36-4989-8343-2320fdf79105,2017-11-20 04:19:00
aa06c7c7-77c8-48a1-9232-5212fa16025b,2017-07-14 02:07:00
e743addf-738a-4aa0-8dc6-c849c6e50d79,2017-01-12 12:35:00
786ea464-dc47-4733-92f2-8196e6f0cc12,2017-05-26 08:22:00
16663b8b-45fa-4725-ac8f-42f6acf1e433,2017-01-26 22:10:00
cd34b8ac-2952-4d84-8619-9bebb47fc500,2017-04-24 10:19:00
3c9c78a7-124a-4b77-8d2e-e1926e011e7d,2017-07-13 11:09:00
ef56956b-8bf5-4e11-a330-9c869bc1c131,2017-09-13 23:01:00
aaf56850-1f1b-491c-b075-c985c63d32d1,2017-07-08 03:56:00
fffc2dfc-fdc1-407a-9c6d-e6507157d1a6,2017-07-03 19:40:00
89d2234e-5097-47de-a582-7a1becb1a591,2017-04-25 10:40:00
6f7934ec-bc34-4752-a2f1-96409b38072b,2017-01-05 18:52:00
899e294f-ccbe-4825-86a8-200495a46280,2017-10-12 12:30:00
